surgery	Age	Hospital Number	rectal temperature	pulse	respiratory rate	temperature of extremitie	peripheral pulse	mucous membranes	capillary refill time	pain	peristalsis	abdominal distension	nasogastric tube	nasogastric reflux	nasogastric reflux PH	rectal examination - fece	abdomen	packed cell volume	total protein	abdominocentesis appearan	abdomcentesis total prote	outcome	surgical lesion	site of lesion	type of lesion	subtype of lesion	pathology_cp_data
_1	_1	_529399	39.30	70.76	30.52	_4	_3	_6	_2	_4	_4	_2	_1	_3	4.00	_4	_4	75.00	24.77	_3	4.30	_2	_1	_2207	_0	_0	_1
_1	_1	_533836	38.13	100.00	30.52	_3	_3	_4	_2	?	_4	_4	_2	_1	2.00	?	?	68.00	64.00	_3	2.00	_1	_1	_2209	_0	_0	_2
_2	_1	_528804	38.60	48.00	20.00	_3	_1	_1	_1	_1	_3	_2	_2	_1	4.96	_3	_2	50.00	7.30	_1	2.95	_1	_2	_3111	_0	_0	_1
_2	_1	_535163	38.80	48.00	40.00	_1	_1	_3	_1	_3	_3	_4	_2	?	4.96	?	_5	41.00	65.00	?	2.95	_1	_1	_4124	_0	_0	_2
_2	_1	_528247	38.00	48.00	20.00	_3	_3	_4	_1	_1	_4	_2	_2	?	5.00	?	_2	49.00	8.30	_1	2.95	_1	_2	_400	_0	_0	_1
_2	_1	_528996	38.60	52.00	20.00	_1	_1	_1	_1	_3	_3	_2	_1	_1	4.96	_1	_3	36.00	6.60	_1	5.00	_1	_2	_0	_0	_0	_1
_1	_1	_533928	37.80	60.00	24.00	_1	?	_3	_2	?	_4	_4	_2	_3	2.00	?	_5	52.00	75.00	?	2.95	_3	_1	_2205	_0	_0	_2
_2	_1	_528248	38.00	42.00	40.00	_3	_1	_1	_1	_3	_3	_1	?	?	4.96	?	?	45.66	24.77	?	2.95	_1	_2	_3111	_0	_0	_2
_2	_1	_528134	38.13	70.76	12.00	_1	_1	_2	_1	_2	_1	_2	_3	_1	4.96	_1	_3	44.00	7.50	_2	2.95	_1	_2	_0	_0	_0	_1
_1	_1	_527916	38.13	70.76	30.52	?	?	?	?	_4	?	?	_1	_1	4.96	?	_5	35.00	58.00	_2	1.00	_1	_1	_4205	_0	_0	_2
_1	_1	_530431	38.30	42.00	24.00	?	?	?	_1	?	?	?	?	?	4.96	?	?	40.00	8.50	?	2.95	_2	_1	_7113	_0	_0	_2
_2	_1	_535176	39.50	60.00	10.00	_3	?	?	_2	_3	_3	_2	_2	_1	4.96	_3	?	38.00	56.00	_1	2.95	_1	_2	_0	_0	_0	_2
_1	_1	_533942	38.00	66.00	20.00	_1	_3	_3	_1	_5	_3	_1	_1	_1	4.96	_3	?	46.00	46.00	_3	2.00	_3	_1	_6209	_0	_0	_2
_1	_1	_528523	38.70	76.00	30.52	_1	_1	_5	_2	_3	_3	_2	_2	_2	4.96	_4	_4	50.00	8.00	?	2.95	_1	_1	_2208	_0	_0	_1
_1	_1	_534925	39.40	120.00	48.00	?	?	_5	_1	?	_3	_3	_1	?	4.96	_4	?	56.00	64.00	_1	2.00	_3	_2	_1400	_0	_0	_2
_1	_1	_527916	38.30	40.00	18.00	_1	_1	_1	_1	_3	_1	_1	?	?	4.96	_2	_1	43.00	5.90	_1	2.95	_1	_2	_0	_0	_0	_1
_2	_1	_528299	38.13	44.00	24.00	_1	_1	_1	_1	_3	_3	_1	_2	_1	4.96	?	_1	45.66	6.30	?	2.95	_1	_2	_3111	_0	_0	_2
_1	_1	_530254	38.40	104.00	40.00	_1	_1	_3	_1	_2	_4	_2	_2	_3	6.50	?	_4	55.00	8.50	?	2.95	_1	_1	_2124	_0	_0	_2
_1	_1	_535085	38.13	65.00	24.00	?	?	?	_2	_5	?	_4	_3	_1	4.96	?	_5	45.66	24.77	?	2.95	_3	_1	_3205	_0	_0	_2
_2	_1	_532985	37.50	44.00	20.00	_1	_1	_3	_1	?	_1	_1	?	?	4.96	_1	?	35.00	7.20	?	2.95	_1	_2	_0	_0	_0	_2
_2	_1	_527677	39.00	86.00	16.00	_3	_3	_5	?	_3	_3	_3	?	_2	4.96	?	?	68.00	5.80	_3	6.00	_2	_1	_5400	_0	_0	_1
_1	_1	_535292	38.50	129.00	48.00	_3	_3	_3	_1	_2	_4	_3	_1	_3	2.00	?	?	57.00	66.00	_3	2.00	_1	_1	_2206	_0	_0	_2
_1	_1	_529729	38.13	104.00	30.52	_3	_3	_5	_2	_2	_4	_3	?	_3	4.96	_4	_4	69.00	8.60	_2	3.40	_2	_1	_2207	_0	_0	_1
_2	_1	_518476	38.13	70.76	30.52	_3	_4	_6	?	_4	?	_4	?	?	4.96	?	?	45.66	24.77	?	2.95	_2	_1	_3400	_0	_0	_1
_1	_1	_527929	38.13	70.76	30.52	?	?	?	?	?	?	?	?	?	4.96	?	?	45.66	24.77	?	2.95	_1	_1	_2208	_0	_0	_2
_1	_1	_535130	38.20	60.00	30.00	_1	_1	_3	_1	_3	_3	_1	_2	_1	4.96	_3	_2	48.00	66.00	?	2.95	_1	_1	_6112	_0	_0	_2
_1	_1	_523190	38.13	68.00	14.00	?	?	_4	_1	_4	?	?	?	_1	4.30	?	?	45.66	24.77	_2	2.80	_2	_1	_4205	_0	_0	_1
_1	_1	_533968	38.13	60.00	30.00	_3	_3	_4	_2	_5	_4	_4	_1	_1	4.96	_4	?	45.00	70.00	_3	2.00	_1	_1	_6111	_3111	_0	_2
_2	_1	_528151	38.50	100.00	30.52	_3	_3	_5	_2	_4	_3	_4	_2	_1	4.96	_4	_5	45.66	24.77	?	2.95	_3	_2	_1111	_0	_0	_1
_1	_1	_530239	38.40	84.00	30.00	_3	_1	_5	_2	_4	_3	_3	_2	_3	6.50	_4	_4	47.00	7.50	_3	2.95	_2	_1	_2300	_0	_0	_2
_2	_1	_528305	37.80	48.00	14.00	?	?	_1	_1	_3	?	_2	_1	_3	5.30	_1	?	35.00	7.50	?	2.95	_1	_2	_3111	_0	_0	_1
_1	_1	_5279820	38.00	70.76	24.00	_3	_3	_6	_2	_5	?	_4	_1	_1	4.96	?	?	68.00	7.80	?	2.95	_2	_1	_2205	_0	_0	_2
_2	_1	_534857	37.80	56.00	16.00	_1	_1	_2	_1	_2	_1	_1	_2	_1	4.96	_1	?	44.00	68.00	_1	1.00	_1	_2	_0	_0	_0	_2
_2	_1	_534053	38.20	68.00	32.00	_2	_2	_2	_1	_1	_1	_1	_3	_1	4.96	_1	_1	43.00	65.00	?	2.95	_1	_2	_0	_0	_0	_2
_1	_1	_534833	38.50	120.00	60.00	_4	_3	_6	_2	?	_3	?	?	?	4.96	?	?	54.00	24.77	?	2.95	_1	_1	_5400	_0	_0	_2
_1	_1	_5278330	39.30	64.00	90.00	_2	_3	_1	_1	?	_3	_1	_1	_2	4.96	?	?	39.00	6.70	?	2.95	_1	_1	_21110	_0	_0	_2
_1	_1	_527365	38.40	80.00	30.00	_4	_3	_1	_1	_3	_3	_3	_3	_3	4.96	_4	_5	32.00	6.10	_3	4.30	_1	_1	_7209	_0	_0	_1
_1	_1	_533887	38.50	60.00	30.52	_1	_1	?	_1	?	_1	_1	?	?	4.96	?	?	33.00	53.00	_1	2.95	_1	_1	_4111	_0	_0	_2
_1	_1	_529960	38.30	60.00	16.00	_3	_1	_1	_1	_2	_1	_1	_2	_2	3.00	_1	_4	30.00	6.00	_1	3.00	_1	_1	_31110	_0	_0	_2
_1	_1	_528742	37.10	40.00	8.00	?	_1	_4	_1	_3	_3	_1	_1	_1	4.96	_3	_3	23.00	6.70	_3	2.95	_1	_1	_3133	_0	_0	_1
_2	_9	_5287280	38.13	100.00	44.00	_2	_1	_1	_1	_4	_1	_1	?	?	4.96	_1	?	37.00	4.70	?	2.95	_1	_2	_7111	_0	_0	_2
_1	_1	_534788	38.20	48.00	18.00	_1	_1	_1	_1	_3	_3	_3	_1	_2	4.96	_4	?	48.00	74.00	_1	2.00	_1	_1	_5111	_0	_0	_2
_1	_1	_529373	38.13	60.00	48.00	_3	_3	_4	_2	_4	_3	_4	?	?	4.96	?	?	58.00	7.60	?	2.95	_2	_1	_3205	_0	_0	_2
_2	_1	_534163	37.90	88.00	24.00	_1	_1	_2	_1	_2	_2	_1	?	?	4.96	_4	_1	37.00	56.00	?	2.95	_1	_2	_0	_0	_0	_2
_2	_1	_533697	38.00	44.00	12.00	_3	_1	_1	?	?	_1	_2	?	?	4.96	_1	?	42.00	64.00	?	2.95	_1	_2	_0	_0	_0	_2
_2	_1	_529628	38.50	60.00	20.00	_1	_1	_5	_2	_2	_2	_1	_2	_1	4.96	_2	_3	63.00	7.50	_2	2.30	_3	_2	_300	_0	_0	_1
_2	_1	_521399	38.50	96.00	36.00	_3	_3	?	_2	_2	_4	_2	_1	_2	4.96	_4	_5	70.00	8.50	?	2.95	_2	_1	_1400	_0	_0	_1
_2	_1	_533885	38.30	60.00	20.00	_1	_1	_1	_2	_1	_3	_1	?	?	4.96	_3	?	34.00	66.00	?	2.95	_1	_2	_0	_0	_0	_2
_2	_1	_534157	38.50	60.00	40.00	_3	_1	_2	_1	_2	_1	_2	?	?	4.96	_3	_2	49.00	59.00	?	2.95	_1	_2	_0	_0	_0	_2
_1	_1	_528047	37.30	48.00	12.00	_1	?	_3	_1	_3	_1	_3	_2	_1	4.96	_3	_3	40.00	6.60	_2	2.95	_1	_1	_3205	_0	_0	_1
_1	_1	_528641	38.50	86.00	30.52	_1	_1	_3	_1	_4	_4	_3	_2	_1	4.96	_3	_5	45.00	7.40	_1	3.40	_2	_1	_3209	_0	_0	_1
_1	_1	_534073	37.50	48.00	40.00	?	?	?	?	?	?	?	_1	_1	4.96	?	_5	41.00	55.00	_3	2.00	_3	_1	_2208	_0	_0	_2
_2	_1	_529685	37.20	36.00	9.00	_1	_1	_1	_1	_2	_3	_1	_2	_1	4.96	_4	_1	35.00	5.70	?	2.95	_1	_2	_31110	_0	_0	_2
_1	_1	_529528	39.20	70.76	23.00	_3	_1	_3	_1	_4	_4	_2	_2	?	4.96	?	?	36.00	6.60	_1	3.00	_1	_1	_3115	_0	_0	_1
_2	_1	_528151	38.50	100.00	30.52	_3	_3	_5	_2	_4	_3	_4	_2	_1	4.96	_4	_5	45.66	24.77	?	2.95	_3	_2	_4124	_0	_0	_2
_1	_1	_535137	38.50	96.00	30.00	_2	_3	_4	_2	_4	_4	_3	_2	_1	4.96	_3	_5	50.00	65.00	?	2.95	_1	_1	_6111	_3112	_0	_2
_1	_1	_530297	38.13	70.76	30.52	?	?	?	?	?	?	?	?	?	4.96	?	?	45.00	8.70	?	2.95	_2	_1	_2208	_0	_0	_2
_1	_1	_535338	37.80	88.00	80.00	_3	_3	_5	_2	?	_3	_3	_2	_3	4.96	_4	_5	64.00	89.00	?	2.95	_3	_1	_3205	_0	_0	_2
_2	_1	_534478	37.50	44.00	10.00	_3	_1	_1	_1	_3	_1	_2	_2	?	4.96	_3	_3	43.00	51.00	_1	1.00	_1	_2	_0	_0	_0	_2
_1	_1	_530401	37.90	68.00	20.00	?	_1	_2	_1	_2	_4	_2	?	?	4.96	_1	_5	45.00	4.00	_3	2.80	_2	_1	_5400	_0	_0	_1
_1	_1	_529893	38.00	86.00	24.00	_4	_3	_4	_1	_2	_4	_4	_1	_1	4.96	_4	_5	45.00	5.50	_1	10.10	_2	_1	_3111	_0	_0	_1
_1	_9	_5294370	38.90	120.00	30.00	_1	_3	_2	_2	_3	_3	_3	_3	_1	3.00	?	?	47.00	6.30	_1	2.95	_1	_2	_2124	_0	_0	_2
_1	_1	_528183	37.60	45.00	12.00	_3	_1	_3	_1	?	_2	_2	_2	_1	4.96	_1	_4	39.00	7.00	_2	1.50	_1	_1	_2112	_0	_0	_1
_2	_1	_529183	38.60	56.00	32.00	_2	_1	_1	_1	_1	_1	_1	_2	?	4.96	_2	?	40.00	7.00	_2	2.10	_1	_2	_0	_0	_0	_1
_1	_1	_529135	37.80	40.00	12.00	_1	_1	_1	_1	_1	_2	_1	_2	_1	4.96	_1	_2	38.00	7.00	?	2.95	_1	_1	_3111	_0	_0	_2
_2	_1	_528977	38.13	70.76	30.52	?	?	?	?	?	?	?	?	?	4.96	?	?	45.66	24.77	?	2.95	_1	_2	_0	_0	_0	_2
_1	_1	_5279440	38.00	76.00	18.00	?	?	?	_2	?	?	?	?	?	4.96	?	?	71.00	11.00	?	2.95	_1	_1	_2209	_0	_0	_1
_1	_1	_535240	38.10	40.00	36.00	_1	_2	_2	_1	_2	_2	?	?	?	4.96	?	?	45.66	24.77	?	2.95	_3	_1	_3112	_0	_0	_2
_1	_1	_529736	38.13	52.00	28.00	_3	_3	_4	_1	_3	_4	_3	_2	_1	4.96	_4	_4	37.00	8.10	?	2.95	_1	_1	_2111	_0	_0	_2
_1	_1	_535029	39.20	88.00	58.00	_4	_4	?	_2	_5	_4	?	?	?	4.96	?	?	45.66	24.77	_2	2.00	_3	_2	_3205	_0	_0	_2
_1	_1	_535031	38.50	92.00	40.00	_4	_3	?	_1	_2	_4	_3	?	?	4.96	_4	?	46.00	67.00	_2	2.00	_1	_1	_2208	_0	_0	_2
_1	_1	_528800	38.13	112.00	13.00	_4	_4	_4	_1	_2	_3	_1	_2	_1	4.50	_4	_4	60.00	6.30	_3	2.95	_1	_1	_2205	_0	_0	_1
_1	_1	_528178	37.70	66.00	12.00	_1	_1	_3	_1	_3	_3	_2	_2	?	4.96	_4	_4	31.50	6.20	_2	1.60	_1	_1	_2208	_0	_0	_1
_1	_1	_535392	38.80	50.00	14.00	_1	_1	_1	_1	_3	_1	_1	_1	_1	4.96	_3	_5	38.00	58.00	?	2.95	_1	_1	_3111	_0	_0	_2
_2	_1	_528931	38.40	54.00	24.00	_1	_1	_1	_1	_1	_3	_1	_2	_1	4.96	_3	_2	49.00	7.20	_1	8.00	_1	_2	_3111	_0	_0	_1
_1	_1	_528503	39.20	120.00	20.00	_4	_3	_5	_2	_2	_3	_3	_1	_3	4.96	?	_4	60.00	8.80	_3	2.95	_2	_1	_2205	_0	_0	_2
_1	_9	_5289420	38.13	70.76	30.52	?	?	?	?	?	?	?	?	?	4.96	?	?	45.00	6.50	_2	2.95	_1	_1	_9000	_0	_0	_1
_1	_1	_535196	37.30	90.00	40.00	_3	?	_6	_2	_5	_4	_3	_2	_2	4.96	_1	_5	65.00	50.00	_3	2.00	_3	_1	_3205	_0	_0	_2
_1	_9	_534597	38.50	120.00	70.00	?	?	?	?	?	_1	?	_2	?	4.96	_1	?	35.00	54.00	_1	1.00	_1	_1	_4205	_3111	_2209	_2
_1	_1	_534280	38.50	104.00	40.00	_3	_3	?	_1	_4	_3	_4	?	?	4.96	?	?	45.66	24.77	?	2.95	_1	_1	_2124	_0	_0	_2
_2	_1	_530028	39.50	92.00	28.00	_3	_3	_6	_1	_5	_4	_1	?	_3	4.96	_4	?	72.00	6.40	?	3.60	_2	_2	_3300	_0	_0	_2
_1	_1	_5262540	38.50	30.00	18.00	?	?	?	?	?	?	?	?	?	4.96	?	?	40.00	7.70	?	2.95	_1	_1	_2113	_0	_0	_2
_1	_1	_530526	38.30	72.00	30.00	_4	_3	_3	_2	_3	_3	_3	_2	_1	4.96	_3	_5	43.00	7.00	_2	3.90	_1	_1	_3113	_0	_0	_1
_2	_1	_528729	37.50	48.00	30.00	_4	_1	_3	_1	?	_2	_1	_1	_1	4.96	_1	_1	48.00	8.60	?	2.95	_1	_2	_400	_0	_0	_2
_1	_1	_528469	38.10	52.00	24.00	_1	_1	_5	_1	_4	_3	_1	_2	_3	7.00	_1	?	54.00	7.50	_2	2.60	_2	_1	_2206	_0	_0	_1
_2	_1	_528179	38.20	42.00	26.00	_1	_1	_1	_1	_3	_1	_2	?	?	4.96	_1	?	36.00	6.90	?	2.95	_1	_2	_3111	_0	_0	_2
_2	_1	_533750	37.90	54.00	42.00	_2	_1	_5	_1	_3	_1	_1	?	_1	4.96	?	_2	47.00	54.00	_3	1.00	_1	_2	_0	_0	_0	_2
_2	_1	_528702	36.10	88.00	30.52	_3	_3	_3	_1	_3	_3	_2	_2	_3	4.96	?	_4	45.00	7.00	_3	4.80	_3	_1	_2209	_0	_0	_1
_1	_1	_534183	38.10	70.00	22.00	?	_1	?	_1	_5	_3	?	?	?	4.96	?	_5	36.00	65.00	?	2.95	_3	_1	_3205	_0	_0	_2
_1	_1	_529160	38.00	90.00	30.00	_4	_3	_4	_2	_5	_4	_4	?	?	4.96	_4	_5	55.00	6.10	?	2.95	_2	_1	_3205	_0	_0	_2
_1	_1	_529045	38.20	52.00	16.00	_1	_1	_2	_1	_1	_2	_1	_1	_1	4.96	_1	?	43.00	8.10	?	2.95	_1	_2	_0	_0	_0	_1
_1	_1	_530354	38.13	36.00	32.00	_1	_1	_4	_1	_5	_3	_3	_2	_3	4.00	?	_4	41.00	5.90	?	2.95	_2	_1	_2205	_0	_0	_2
_1	_1	_5281090	38.40	92.00	20.00	_1	?	?	_2	?	_3	_3	?	?	4.96	_1	?	45.66	24.77	?	2.95	_1	_1	_2208	_0	_0	_1
_1	_9	_5291410	38.20	124.00	88.00	_1	_3	_2	_1	_2	_3	_4	?	?	4.96	?	?	47.00	8.00	_1	2.95	_1	_1	_9400	_0	_0	_1
_2	_1	_528904	38.13	96.00	30.52	_3	_3	_3	_2	_5	_4	_4	?	_1	4.96	_4	_5	60.00	24.77	?	2.95	_2	_1	_41110	_0	_0	_2
_1	_1	_530366	37.60	68.00	32.00	_3	?	_3	_1	_4	_2	_4	_2	_2	6.50	_1	_5	47.00	7.20	_1	2.95	_1	_1	_3209	_0	_0	_2
_1	_1	_530170	38.10	88.00	24.00	_3	_3	_4	_1	_5	_4	_3	_2	_1	4.96	_3	_4	41.00	4.60	?	2.95	_2	_1	_2209	_0	_0	_2
_1	_1	_527709	38.00	108.00	60.00	_2	_3	_4	_1	_4	_3	_3	_2	?	4.96	_3	_4	45.66	24.77	_3	2.95	_1	_1	_2205	_0	_0	_2
_2	_1	_528169	38.20	48.00	30.52	_2	?	_1	_2	_3	_3	_1	_2	_1	4.96	?	_2	34.00	6.60	?	2.95	_1	_2	_3111	_0	_0	_2
_1	_1	_535043	39.30	100.00	51.00	_4	_4	_6	_1	_2	_4	_1	_1	_3	2.00	?	_4	66.00	13.00	_3	2.00	_3	_1	_2113	_0	_0	_2
_2	_1	_527940	36.60	42.00	18.00	_3	_3	_2	_1	_1	_4	_1	_1	_1	4.96	?	_5	52.00	7.10	?	2.95	_2	_1	_5111	_0	_0	_2
_1	_9	_5291720	38.80	124.00	36.00	_3	_1	_2	_1	_2	_3	_4	_1	_1	4.96	_4	_4	50.00	7.60	_3	2.95	_2	_1	_2208	_0	_0	_1
_2	_1	_530561	38.13	112.00	24.00	_3	_3	_4	_2	_5	_4	_2	?	?	4.96	_4	?	40.00	5.30	_3	2.60	_1	_2	_400	_0	_0	_1
_1	_1	_533738	38.13	80.00	30.52	_3	_3	_3	_1	_4	_4	_4	?	?	4.96	_4	_5	43.00	70.00	?	2.95	_1	_1	_3111	_0	_0	_2
_1	_9	_5294540	38.80	184.00	84.00	_1	?	_1	_1	_4	_1	_3	?	?	4.96	_2	?	33.00	3.30	?	2.95	_2	_1	_7111	_0	_0	_2
_1	_1	_533871	37.50	72.00	30.52	_2	_1	_1	_1	_2	_1	_1	_1	_1	4.96	_1	?	35.00	65.00	_2	2.00	_3	_1	_7209	_0	_0	_2
_1	_1	_529812	38.70	96.00	28.00	_3	_3	_4	_1	?	_4	?	?	_3	7.50	?	?	64.00	9.00	?	2.95	_2	_1	_2205	_0	_0	_1
_2	_1	_534719	37.50	52.00	12.00	_1	_1	_1	_1	_2	_3	_2	_2	_1	4.96	_3	_5	36.00	61.00	_1	1.00	_1	_2	_0	_0	_0	_2
_1	_1	_527734	40.80	72.00	42.00	_3	_3	_1	_1	_2	_3	_1	_2	_1	4.96	?	?	54.00	7.40	_3	2.95	_2	_1	_11400	_0	_0	_1
_2	_1	_534933	38.00	40.00	25.00	?	_1	_1	_1	_4	_3	_2	_1	_1	4.96	_4	?	37.00	69.00	?	2.95	_1	_2	_0	_0	_0	_2
_2	_1	_529296	38.40	48.00	16.00	_2	_1	_1	_1	_1	?	_2	_2	_1	4.96	?	_2	39.00	6.50	?	2.95	_1	_2	_3111	_0	_0	_1
_2	_9	_5305630	38.60	88.00	28.00	?	?	?	?	?	?	?	?	?	4.96	?	?	35.00	5.90	?	2.95	_1	_2	_0	_0	_0	_2
_1	_1	_528743	37.10	75.00	36.00	?	?	_3	_2	_4	_4	_2	_2	_3	5.00	_4	_4	48.00	7.40	_3	3.20	_2	_1	_12208	_0	_0	_1
_1	_1	_530478	38.30	44.00	21.00	_3	_1	_2	_1	_3	_3	_3	_2	_1	4.96	_1	_5	44.00	6.50	_2	4.40	_1	_1	_2209	_0	_0	_1
_2	_1	_528590	38.13	56.00	68.00	_3	_1	_1	_1	_3	_3	_1	_2	_1	4.96	_1	?	40.00	6.00	?	2.95	_3	_1	_5206	_0	_0	_2
_2	_1	_529865	38.60	68.00	20.00	_2	_1	_3	_1	_3	_3	_2	_1	_1	4.96	_1	_5	38.00	6.50	_1	2.95	_1	_2	_5124	_0	_0	_1
_2	_1	_527829	38.30	54.00	18.00	_3	_1	_2	_1	_2	_3	_2	?	_3	5.40	?	_4	44.00	7.20	_3	2.95	_1	_2	_2124	_0	_0	_1
_1	_1	_534403	38.20	42.00	20.00	?	?	_1	_1	?	_3	?	?	?	4.96	_3	?	47.00	60.00	?	2.95	_1	_2	_0	_0	_0	_2
_1	_1	_527883	39.30	64.00	90.00	_2	_3	_1	_1	?	_3	_1	_1	_2	6.50	_1	_5	39.00	6.70	?	2.95	_1	_1	_31110	_0	_0	_2
_1	_1	_528570	37.50	60.00	50.00	_3	_3	_1	_1	_3	_3	_2	_2	_2	3.50	_3	_4	35.00	6.50	?	2.95	_2	_1	_2209	_0	_0	_2
_1	_1	_534626	37.70	80.00	30.52	_3	_3	_6	_1	_5	_4	_1	_2	_3	4.96	_3	_1	50.00	55.00	_3	2.00	_1	_1	_4206	_0	_0	_2
_1	_1	_529796	38.13	100.00	30.00	_3	_3	_4	_2	_5	_4	_4	_3	_3	4.96	_4	_4	52.00	6.60	?	2.95	_1	_1	_2124	_0	_0	_2
_1	_1	_528638	37.70	120.00	28.00	_3	_3	_3	_1	_5	_3	_3	_1	_1	4.96	?	?	65.00	7.00	_3	2.95	_2	_1	_4205	_0	_0	_1
_1	_1	_534624	38.13	76.00	30.52	?	_3	?	?	?	_4	_4	?	?	4.96	?	_5	45.66	24.77	?	2.95	_3	_1	_11124	_0	_0	_2
_1	_9	_5297160	38.80	150.00	50.00	_1	_3	_6	_2	_5	_3	_2	_1	_1	4.96	?	?	50.00	6.20	?	2.95	_2	_1	_4207	_0	_0	_2
_1	_1	_534787	38.00	36.00	16.00	_3	_1	_1	_1	_4	_2	_2	_3	_3	2.00	_3	?	37.00	75.00	_2	1.00	_3	_2	_3111	_0	_0	_2
_2	_1	_528620	36.90	50.00	40.00	_2	_3	_3	_1	_1	_3	_2	_3	_1	7.00	?	?	37.50	6.50	?	2.95	_1	_2	_3111	_0	_0	_2
_2	_1	_528019	37.80	40.00	16.00	_1	_1	_1	_1	_1	_1	_1	?	?	4.96	_1	_1	37.00	6.80	?	2.95	_1	_2	_0	_0	_0	_2
_2	_1	_529172	38.20	56.00	40.00	_4	_3	_1	_1	_2	_4	_3	_2	_2	7.50	?	?	47.00	7.20	_1	2.50	_1	_2	_8300	_0	_0	_1
_1	_1	_534644	38.60	48.00	12.00	?	?	_1	?	_1	_1	?	?	?	4.96	?	?	36.00	67.00	?	2.95	_1	_2	_0	_0	_0	_2
_2	_1	_530624	40.00	78.00	30.52	_3	_3	_5	_1	_2	_3	_1	_1	_1	4.96	_4	_1	66.00	6.50	?	2.95	_2	_1	_8400	_0	_0	_1
_1	_1	_527544	38.13	70.00	16.00	_3	_4	_5	_2	_2	_3	_2	_2	_1	4.96	_4	_5	60.00	7.50	?	2.95	_2	_1	_1400	_0	_0	_2
_1	_1	_527758	38.20	72.00	18.00	?	?	?	?	?	?	?	?	?	4.96	?	?	35.00	6.40	?	2.95	_1	_1	_3124	_0	_0	_2
_2	_1	_530439	38.50	54.00	30.52	_1	_1	_1	_1	_3	_1	_1	_2	_1	4.96	_1	?	40.00	6.80	_2	7.00	_1	_2	_0	_0	_0	_1
_1	_1	_5283430	38.50	66.00	24.00	_1	_1	_1	_1	_3	_3	_1	_2	_1	4.96	_4	_5	40.00	6.70	_1	2.95	_1	_1	_31110	_0	_0	_1
_2	_1	_5275210	37.80	82.00	12.00	_3	_1	_1	_2	_4	?	_3	_1	_3	4.96	?	?	50.00	7.00	?	2.95	_3	_1	_2205	_0	_0	_2
_2	_9	_5305130	39.50	84.00	30.00	?	?	?	_1	?	?	?	?	?	4.96	?	?	28.00	5.00	?	2.95	_1	_2	_0	_0	_0	_2
_1	_1	_529428	38.13	70.76	30.52	?	?	?	?	?	?	?	?	?	4.96	?	?	45.66	24.77	?	2.95	_1	_1	_2124	_0	_0	_2
_1	_1	_529126	38.00	50.00	36.00	?	_1	_1	_1	_3	_2	_2	?	?	4.96	_3	?	39.00	6.60	_1	5.30	_1	_1	_8400	_0	_0	_1
_2	_1	_535054	38.60	45.00	16.00	_2	_1	_2	_1	_1	_1	?	?	?	4.96	_1	_1	43.00	58.00	?	2.95	_1	_2	_0	_0	_0	_2
_1	_1	_528890	38.90	80.00	44.00	_3	_3	_3	_1	_2	_3	_3	_2	_2	7.00	_3	_1	54.00	6.50	_3	2.95	_2	_1	_7111	_0	_0	_2
_1	_1	_530034	37.00	66.00	20.00	_1	_3	_2	_1	_4	_3	_3	_1	?	4.96	_1	_5	35.00	6.90	_2	2.95	_2	_1	_31110	_0	_0	_2
_1	_1	_534004	38.13	78.00	24.00	_3	_3	_3	_1	?	_3	?	_2	_1	4.96	?	_4	43.00	62.00	?	2.00	_3	_2	_2209	_0	_0	_2
_2	_1	_533902	38.50	40.00	16.00	_1	_1	_1	_1	_2	_1	_1	?	?	4.96	_3	_2	37.00	67.00	?	2.95	_1	_2	_0	_0	_0	_2
_1	_1	_533886	38.13	120.00	70.00	_4	?	_4	_2	_2	_4	?	?	?	4.96	?	_5	55.00	65.00	?	2.95	_3	_2	_3205	_0	_0	_2
_2	_1	_527702	37.20	72.00	24.00	_3	_2	_4	_2	_4	_3	_3	_3	_1	4.96	_4	_4	44.00	24.77	_3	3.30	_3	_1	_2208	_0	_0	_1
_1	_1	_529386	37.50	72.00	30.00	_4	_3	_4	_1	_4	_4	_3	_2	_1	4.96	_3	_5	60.00	6.80	?	2.95	_2	_1	_3205	_0	_0	_2
_1	_1	_530612	36.50	100.00	24.00	_3	_3	_3	_1	_3	_3	_3	_3	_1	4.96	_4	_4	50.00	6.00	_3	3.40	_1	_1	_2208	_0	_0	_1
_1	_1	_534618	37.20	40.00	20.00	?	?	?	?	?	?	?	?	?	4.96	_4	_1	36.00	62.00	_1	1.00	_3	_2	_6112	_0	_0	_2
_2	_1	_528626	38.50	54.00	20.00	?	_1	_2	_2	_3	_4	_1	_2	_2	5.90	?	_2	42.00	6.30	?	2.95	_1	_2	_3111	_0	_0	_1
_2	_1	_527950	37.60	48.00	36.00	?	?	_1	_1	?	_3	?	?	?	4.96	?	?	44.00	6.30	_1	5.00	_1	_2	_3111	_0	_0	_1
_1	_1	_535263	37.70	44.00	28.00	?	_4	_3	_2	_5	_4	_4	_1	_1	4.96	_3	_5	45.00	70.00	_3	2.00	_1	_1	_3205	_0	_0	_2
_1	_1	_534523	37.00	56.00	24.00	_3	_1	_4	_2	_4	_4	_3	_1	_1	4.96	?	?	35.00	61.00	_3	2.00	_3	_2	_2205	_2208	_0	_2
