a01	a02	a03	a04	a05	a06	a07	a08	a09	a10	a11	a12	a13	a14	a15	a16	a17	a18	a19	a20	a21	a22	a23	a24	a25	a26	a27	a28	a29	a30	a31	a32	a33	a34	class
1.00	0.00	-0.54	0.15	-0.34	0.73	0.52	-0.14	0.32	-0.07	0.21	-0.15	0.47	0.09	0.56	-0.15	0.16	0.45	0.34	0.03	0.50	0.07	-0.64	-0.62	1.00	0.66	0.41	-0.40	-0.15	0.11	0.02	0.56	0.53	-0.09	b
1.00	0.00	0.29	0.14	0.45	0.17	0.52	-0.01	0.53	0.21	0.52	-0.17	0.47	-0.05	0.56	0.04	0.82	-0.22	0.42	-0.04	0.35	0.07	0.28	-0.21	0.52	-0.03	0.50	-0.03	0.35	0.10	0.71	-0.02	0.40	-0.03	g
1.00	0.00	0.79	0.17	0.00	0.00	0.57	0.07	0.39	1.00	0.38	1.00	-0.02	0.53	0.24	0.13	-0.03	0.95	-0.51	0.85	-0.10	0.39	-0.43	0.24	-0.92	0.81	-0.34	0.88	-1.00	0.69	-1.00	0.13	0.00	0.00	b
1.00	0.00	0.90	0.17	0.79	0.37	0.73	0.51	0.60	0.73	0.44	0.81	0.24	0.87	0.06	0.85	-0.13	0.87	-0.29	0.80	-0.47	0.66	-0.57	0.54	-0.68	0.40	-0.72	0.26	-0.72	0.11	-0.71	-0.06	-0.68	-0.20	g
1.00	0.00	0.98	0.19	0.83	0.46	0.72	0.59	0.48	0.84	0.31	0.93	0.10	0.94	-0.13	0.84	-0.32	0.92	-0.52	0.80	-0.68	0.50	-0.77	0.34	-0.85	0.18	-0.83	-0.01	-0.82	-0.19	-0.67	-0.34	-0.60	-0.50	g
1.00	0.00	-1.00	-1.00	0.00	0.00	0.51	-0.79	0.61	0.33	-1.00	-0.41	0.00	0.00	0.00	0.00	1.00	-0.27	0.36	-0.64	0.97	-1.00	-1.00	-1.00	1.00	-0.60	-1.00	-1.00	-1.00	-1.00	1.00	-1.00	0.00	0.00	b
1.00	0.00	0.74	0.05	0.79	0.03	0.79	0.04	0.66	0.10	0.68	0.31	0.76	0.07	0.75	0.08	0.71	-0.08	0.64	0.00	0.70	0.11	0.68	0.12	0.67	0.15	0.64	0.14	0.66	0.18	0.60	0.15	0.57	0.15	g
1.00	0.00	1.00	-1.00	0.00	0.00	0.78	-0.99	0.81	0.55	-0.42	-0.95	0.00	0.00	0.00	0.00	0.72	-0.77	0.74	-0.60	0.00	0.00	0.18	-1.00	-1.00	-1.00	-1.00	-1.00	1.00	-1.00	1.00	-1.00	0.00	0.00	b
1.00	0.00	1.00	0.02	0.96	-0.03	1.00	-0.03	1.00	-0.05	0.99	-0.07	0.99	-0.09	1.00	-0.16	1.00	-0.14	0.98	-0.12	1.00	-0.19	1.00	-0.19	0.99	-0.22	0.96	-0.20	0.95	-0.17	0.96	-0.23	0.87	-0.23	g
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	-1.00	0.00	0.00	0.00	0.00	0.00	0.00	b
1.00	0.00	0.96	-0.12	0.63	-0.13	0.96	-0.18	0.97	0.08	0.92	-0.01	0.84	-0.25	1.00	-0.31	0.99	-0.21	0.99	-0.21	1.00	-0.27	0.93	-0.39	1.00	-0.19	0.89	-0.32	0.81	-0.24	0.89	-0.32	0.70	-0.42	g
1.00	0.00	0.28	-0.32	0.00	0.00	0.68	-1.00	0.31	0.96	0.64	0.06	0.35	-0.85	0.00	0.00	0.59	-0.36	0.45	-0.81	0.00	0.00	0.00	0.00	0.24	0.18	1.00	-0.24	0.06	-0.48	0.16	-0.70	0.00	0.00	b
1.00	0.00	0.94	-0.49	1.00	-0.04	0.99	-0.87	0.90	0.67	1.00	-0.10	1.00	-0.12	1.00	-0.15	1.00	-0.18	1.00	-0.20	1.00	-0.23	1.00	-0.27	1.00	-0.30	1.00	-0.33	1.00	-0.37	1.00	-0.41	1.00	-0.45	g
1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.62	1.00	0.00	0.00	0.00	0.00	0.37	-0.72	0.56	-1.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	b
1.00	0.00	0.99	0.01	0.84	-0.11	0.88	-0.16	0.99	-0.06	0.96	-0.07	0.85	0.03	0.87	-0.21	0.94	-0.13	0.98	-0.09	0.90	0.00	0.88	-0.06	0.93	-0.20	0.88	-0.18	0.94	-0.17	0.80	-0.26	0.77	-0.28	g
1.00	0.00	0.10	0.11	0.00	0.00	0.00	0.00	0.55	0.82	0.31	1.00	0.00	0.00	0.00	0.00	0.37	-1.00	0.33	-1.00	0.00	0.00	0.00	0.00	-0.43	-1.00	1.00	-1.00	0.55	-0.24	0.00	0.00	0.00	0.00	b
1.00	0.00	1.00	-0.57	0.99	-0.73	0.90	-0.97	1.00	-0.36	1.00	-0.23	0.63	-0.86	1.00	-0.58	1.00	-0.80	0.77	-0.89	0.97	-1.00	0.70	-0.75	0.62	-0.77	0.54	-0.78	0.81	-1.00	1.00	-1.00	0.30	-0.76	g
1.00	0.00	0.66	-0.63	0.00	0.00	0.00	0.00	0.77	1.00	1.00	-0.28	0.00	0.00	0.00	0.00	0.62	-0.23	0.84	-1.00	1.00	-1.00	0.00	0.00	0.00	0.00	1.00	-0.94	-0.13	-0.93	0.00	0.00	0.00	0.00	b
1.00	0.00	0.86	0.19	0.81	0.41	0.67	0.56	0.55	0.70	0.37	0.82	0.20	0.86	-0.04	0.86	-0.17	0.76	-0.34	0.66	-0.48	0.56	-0.60	0.41	-0.59	0.26	-0.63	0.09	-0.57	-0.08	-0.55	-0.20	-0.43	-0.32	g
1.00	0.00	0.42	-0.61	0.00	0.00	1.00	-1.00	0.90	1.00	0.43	0.64	0.00	0.00	0.00	0.00	0.67	-0.29	0.84	-1.00	0.00	0.00	0.00	0.00	0.21	0.68	1.00	0.22	0.00	0.00	0.00	0.00	0.00	0.00	b
1.00	0.00	1.00	0.23	0.91	0.52	0.78	0.72	0.48	0.84	0.28	0.92	0.09	0.88	-0.22	0.91	-0.34	0.76	-0.51	0.65	-0.65	0.45	-0.74	0.29	-0.71	0.04	-0.72	-0.12	-0.65	-0.28	-0.51	-0.45	-0.37	-0.53	g
1.00	0.00	0.91	0.82	-0.73	1.00	-0.39	0.56	0.05	0.30	-0.19	-0.10	-0.03	-0.09	0.01	-0.03	0.01	-0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	b
1.00	0.00	0.21	-0.10	0.33	0.07	0.19	0.19	0.24	0.10	0.40	0.02	0.31	-0.05	0.31	-0.05	0.29	-0.12	0.33	0.05	0.31	0.00	0.21	-0.12	0.36	-0.05	0.22	-0.02	0.19	0.00	0.17	-0.02	0.15	-0.02	g
1.00	0.00	1.00	-0.15	1.00	0.05	0.57	-0.02	0.66	0.02	0.85	-0.03	0.72	0.00	0.69	-0.16	0.20	-0.15	0.66	-0.17	0.67	0.03	1.00	-0.30	0.31	-0.34	0.52	-0.20	0.33	-0.03	0.28	-0.44	0.49	-0.07	b
1.00	0.00	0.98	0.00	0.89	0.03	0.86	0.05	0.80	0.00	0.69	0.05	0.79	0.08	0.77	0.10	0.63	0.25	0.68	0.13	0.71	0.13	0.69	0.13	0.75	0.23	0.65	0.15	0.67	0.03	0.61	0.16	0.59	0.17	g
1.00	0.00	0.39	0.52	-0.79	0.11	-0.17	-0.76	0.67	0.01	0.82	0.40	-0.67	0.31	-0.35	-0.64	0.46	0.15	0.55	0.06	-0.52	0.45	-0.48	-0.48	0.32	0.70	0.52	0.39	0.57	0.39	-0.55	-0.30	0.25	-0.56	b
1.00	0.00	0.87	-0.07	1.00	-0.02	1.00	-0.07	0.88	0.00	0.84	-0.06	1.00	-0.07	1.00	-0.20	0.87	0.05	0.88	-0.04	1.00	-0.12	1.00	-0.19	0.84	0.04	1.00	-0.14	0.82	-0.15	1.00	-0.16	1.00	-0.44	g
1.00	0.00	0.44	-0.13	0.58	-0.15	0.18	-0.67	0.35	-0.04	0.29	-0.05	0.29	0.29	0.36	-0.42	0.20	-0.02	0.36	0.05	0.13	0.49	0.62	0.16	0.33	0.16	0.41	-0.07	0.35	-0.05	0.13	-0.36	0.29	-0.29	b
1.00	0.00	1.00	-0.92	1.00	0.75	0.49	-0.06	0.62	0.00	1.00	0.00	0.45	0.08	0.62	-0.06	0.99	0.00	0.53	0.00	0.53	0.08	0.95	0.00	1.00	0.79	0.92	0.00	0.94	-1.00	1.00	0.43	0.43	-0.11	g
1.00	0.00	0.74	0.83	-0.76	-0.24	0.33	-0.14	0.45	-0.14	-0.67	0.13	0.33	0.00	0.29	-0.07	-0.38	0.51	0.24	0.02	0.45	0.05	0.17	-0.26	-0.57	-0.10	0.25	-0.51	1.00	0.00	-0.67	-0.05	0.26	0.02	b
1.00	0.00	0.44	0.04	0.58	-0.10	0.40	0.00	0.33	-0.06	0.48	0.00	0.29	0.10	0.54	0.02	0.44	-0.23	0.35	-0.23	0.33	0.08	0.25	0.19	0.40	-0.19	0.44	-0.10	0.42	-0.08	0.58	-0.31	0.33	-0.06	g
1.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.48	-0.89	-0.52	0.45	-0.95	0.29	0.65	1.00	0.00	0.00	0.00	0.00	0.62	0.20	-1.00	-1.00	1.00	-1.00	1.00	1.00	0.00	0.00	0.00	0.00	b
1.00	0.00	0.95	0.07	0.94	0.13	0.91	0.19	0.85	-0.50	0.90	0.61	0.78	0.34	0.72	0.38	0.66	0.41	0.95	0.60	0.53	0.44	0.47	0.45	0.40	0.44	0.34	0.43	0.90	1.00	0.23	0.40	0.19	0.37	g
1.00	0.00	0.60	0.40	0.83	0.81	0.76	0.71	0.84	-0.11	0.97	0.08	0.96	-0.86	0.92	0.88	0.95	-0.05	0.89	0.18	0.98	-0.70	0.87	-0.86	0.29	-0.30	1.00	0.17	0.63	0.43	0.88	0.81	0.82	0.69	b
1.00	0.00	0.96	0.10	1.00	-0.02	0.98	0.03	0.97	-0.09	0.99	-0.03	0.98	-0.03	1.00	-0.05	1.00	-0.05	0.94	0.02	0.98	-0.09	0.98	-0.05	0.92	-0.16	0.96	-0.07	0.91	0.01	1.00	-0.11	0.93	-0.07	g
1.00	0.00	0.00	0.00	-0.34	0.85	0.00	0.00	0.69	-1.00	0.97	0.31	-0.26	-0.59	-0.30	0.66	0.94	0.16	0.00	0.00	0.00	0.00	-0.18	-1.00	0.00	0.00	1.00	-1.00	0.00	0.00	0.04	0.62	0.00	0.00	b
1.00	0.00	0.97	0.01	1.00	0.01	0.99	-0.01	0.98	-0.03	1.00	-0.04	1.00	-0.01	1.00	-0.03	1.00	-0.01	0.98	0.00	1.00	-0.03	1.00	-0.05	0.96	-0.05	0.99	-0.03	0.97	-0.02	1.00	-0.04	0.98	-0.04	g
1.00	0.00	0.00	0.00	0.99	-0.23	0.19	-0.05	0.00	0.00	0.93	0.07	1.00	-0.20	1.00	0.07	1.00	-0.11	0.00	0.00	1.00	-0.21	1.00	-0.42	0.00	0.00	1.00	-0.18	0.00	0.00	1.00	-0.26	0.29	-0.16	b
1.00	0.00	0.64	0.01	0.34	-0.02	0.53	0.03	0.20	0.12	0.43	0.05	0.22	0.05	0.29	0.00	0.37	0.00	0.32	0.07	0.27	0.12	0.24	0.06	0.22	0.10	0.19	0.06	0.17	0.06	0.20	0.00	0.17	0.07	g
1.00	0.00	1.00	1.00	1.00	-1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	-1.00	1.00	1.00	1.00	-1.00	0.00	0.00	0.00	0.00	1.00	-0.28	0.00	0.00	1.00	-1.00	1.00	1.00	1.00	-1.00	0.00	0.00	b
1.00	0.00	0.35	0.20	0.47	0.24	0.41	0.20	0.47	0.45	0.31	0.59	0.12	0.55	0.00	0.51	-0.06	0.55	-0.20	0.55	-0.29	0.45	-0.29	0.33	-0.61	0.22	-0.47	0.15	-0.59	0.18	-0.35	0.00	-0.27	-0.24	g
1.00	0.00	0.00	0.00	1.00	-1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	-0.25	1.00	0.23	1.00	-1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	1.00	-1.00	0.00	0.00	1.00	-1.00	0.00	0.00	b
1.00	0.00	0.90	0.38	0.91	0.38	0.74	0.68	0.46	0.78	0.19	0.89	-0.02	0.86	-0.21	0.82	-0.38	0.68	-0.50	0.48	-0.74	0.38	-0.86	0.09	-0.74	-0.13	-0.68	-0.24	-0.55	-0.43	-0.44	-0.51	-0.29	-0.57	g
1.00	0.00	-1.00	0.28	0.22	0.15	-0.76	-0.71	-0.31	0.71	-1.00	1.00	-0.82	0.34	-0.79	-0.03	-0.98	-0.83	-0.60	-0.54	-0.05	-0.83	0.94	-0.94	-1.00	-0.43	0.74	0.09	-1.00	0.05	0.18	0.03	-0.40	-0.48	b
1.00	0.00	0.27	-0.10	0.53	0.00	0.33	-0.13	0.37	0.12	0.57	0.02	0.72	0.08	0.70	-0.07	0.53	0.20	0.42	-0.02	0.32	0.20	0.70	0.00	0.25	0.13	0.46	0.05	0.40	0.03	0.47	0.03	0.42	-0.05	g
1.00	0.00	-0.27	0.40	-0.27	0.12	-0.18	-0.04	0.06	-0.07	0.04	0.03	-0.01	0.03	-0.02	0.00	0.00	-0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	b
1.00	0.00	1.00	-0.38	0.65	0.30	0.65	-0.24	0.86	0.19	1.00	-0.27	0.51	0.00	0.62	-0.05	0.32	-0.22	0.72	-0.18	0.62	0.05	0.76	0.14	0.35	-0.30	0.61	-0.22	0.58	-0.23	0.73	-0.59	0.51	-0.24	g
1.00	0.00	0.95	-0.04	-1.00	-0.33	-1.00	-0.02	0.97	0.01	0.93	-0.02	-1.00	0.16	-1.00	0.00	0.95	-0.04	0.92	-0.03	-0.99	0.12	-0.93	0.35	0.96	0.00	0.82	0.14	0.90	-0.07	-1.00	-0.19	-1.00	-0.34	b
1.00	0.00	0.95	0.02	0.94	-0.01	0.94	0.01	0.97	-0.02	0.97	0.01	0.96	-0.03	0.95	0.00	0.99	-0.03	1.00	0.02	0.94	-0.05	0.94	-0.02	0.97	-0.04	0.96	-0.02	0.97	0.02	0.95	-0.03	0.96	0.01	g
1.00	0.00	1.00	-0.06	1.00	-1.00	0.50	-0.11	0.36	-0.22	1.00	-0.26	0.17	-0.11	1.00	-0.35	1.00	-0.39	1.00	-0.43	0.00	-0.25	1.00	-0.50	1.00	-0.28	1.00	-0.57	1.00	-0.28	1.00	-0.63	1.00	-0.66	b
1.00	0.00	0.31	-0.10	0.24	-0.10	0.21	-0.07	0.07	-0.05	0.04	-0.04	0.02	-0.02	0.01	-0.01	0.00	-0.01	0.00	-0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	g
1.00	0.00	0.63	-0.08	0.73	0.00	0.61	-0.08	0.63	-0.12	0.69	-0.12	0.67	-0.14	0.65	-0.10	0.55	-0.12	0.55	-0.22	0.59	-0.20	0.67	-0.24	0.45	-0.25	0.52	-0.25	0.57	-0.31	0.43	-0.22	0.47	-0.27	b
1.00	0.00	0.25	0.17	0.47	0.27	0.19	0.24	0.08	0.20	0.01	0.15	-0.02	0.10	-0.04	0.06	-0.04	0.03	-0.03	0.02	-0.02	0.00	-0.02	0.00	-0.01	-0.01	-0.01	-0.01	0.00	-0.01	0.00	0.00	0.00	0.00	g
1.00	0.00	-0.66	0.16	0.06	0.00	0.00	0.06	0.63	0.06	0.19	0.00	-0.03	0.09	0.06	0.00	0.16	-0.16	0.44	-0.38	0.00	-0.09	0.00	0.00	0.03	-0.47	0.03	0.00	-0.72	0.03	-0.03	0.00	0.00	0.09	b
1.00	0.00	1.00	-0.01	1.00	-0.03	1.00	-0.06	0.95	-0.02	0.99	-0.03	0.99	0.09	1.00	-0.06	0.95	0.09	0.98	-0.01	1.00	0.06	1.00	0.04	0.98	0.09	0.99	0.01	1.00	-0.03	1.00	0.03	1.00	-0.07	g
1.00	0.00	0.85	0.05	1.00	0.08	1.00	1.00	0.91	-0.01	0.84	0.04	1.00	0.27	1.00	1.00	0.81	0.05	0.91	0.12	1.00	0.51	1.00	-1.00	0.81	0.04	1.00	0.72	0.84	0.07	1.00	0.87	1.00	1.00	b
1.00	0.00	0.90	-0.02	1.00	0.08	1.00	0.02	0.93	0.01	0.94	-0.02	1.00	0.00	1.00	0.06	1.00	0.05	0.91	0.04	0.97	0.02	0.99	-0.02	0.96	0.05	0.97	0.04	0.88	0.01	1.00	0.09	0.98	0.06	g
1.00	0.00	-0.20	0.29	0.23	0.10	0.28	0.32	0.32	0.35	0.36	-0.35	0.09	0.28	-0.09	0.21	-0.09	0.23	-0.34	0.31	-0.48	-0.08	0.30	0.33	-0.58	-0.24	0.32	-0.28	-0.47	0.19	-0.27	-0.31	0.40	0.03	b
1.00	0.00	0.60	0.03	0.63	0.07	0.70	0.07	0.70	0.00	0.63	0.00	0.80	0.00	0.73	0.00	0.70	0.10	0.67	0.10	0.73	-0.03	0.77	0.00	0.63	0.13	0.66	0.10	0.60	0.13	0.60	0.17	0.63	0.17	g
1.00	0.00	0.06	-0.01	0.07	0.01	0.00	-0.01	0.01	-0.04	0.02	-0.08	-0.01	0.05	0.06	-0.03	0.00	0.09	-0.06	0.08	-0.05	0.03	0.03	-0.01	0.01	0.01	0.10	-0.01	0.03	0.00	0.04	0.00	0.05	-0.03	b
1.00	0.00	0.95	0.29	0.73	0.67	0.48	0.82	0.01	0.89	-0.25	0.84	-0.48	0.56	-0.76	0.42	-0.66	0.07	-0.65	-0.20	-0.52	-0.44	-0.31	-0.55	-0.04	-0.65	0.16	-0.56	0.37	-0.42	0.46	-0.23	0.50	-0.06	g
1.00	0.00	0.05	0.01	-0.03	0.05	0.01	0.05	-0.08	0.01	0.02	-0.07	-0.04	0.04	-0.08	-0.05	-0.09	0.08	-0.04	0.05	0.02	0.02	-0.04	-0.01	0.03	-0.01	0.01	0.02	0.03	0.01	0.03	0.01	-0.05	-0.01	b
1.00	0.00	0.72	-0.01	0.80	0.01	0.80	0.00	0.79	0.01	0.78	-0.01	0.83	0.03	0.85	0.02	0.80	-0.01	0.79	-0.03	0.76	0.03	0.75	0.06	0.73	-0.01	0.78	0.01	0.74	-0.05	0.83	0.03	0.79	0.01	g
1.00	0.00	0.04	0.03	0.00	0.00	0.02	-0.02	0.02	-0.05	-0.05	-0.01	0.01	-0.02	0.00	-0.03	-0.05	-0.03	-0.02	0.04	0.02	0.00	0.05	-0.02	0.05	0.02	0.04	0.02	0.02	0.01	-0.03	-0.02	-0.01	0.02	b
1.00	0.00	0.47	0.23	0.42	0.34	0.26	0.48	0.02	0.49	-0.02	0.54	-0.34	0.31	-0.41	0.33	-0.52	0.07	-0.50	-0.12	-0.15	-0.15	-0.15	-0.38	-0.23	0.00	0.04	-0.32	0.16	-0.22	0.25	-0.24	0.27	0.04	g
1.00	0.00	0.09	0.01	0.14	-0.04	0.11	-0.08	0.13	-0.06	0.23	-0.01	0.12	0.08	0.15	-0.14	0.29	-0.05	0.19	0.07	0.12	0.00	0.11	0.00	0.15	-0.10	0.08	0.01	0.11	-0.07	0.10	-0.07	0.12	-0.07	b
1.00	0.00	0.94	0.39	0.48	0.65	0.22	0.78	-0.56	0.65	-0.74	0.42	-0.76	0.00	-0.63	-0.31	-0.38	-0.62	-0.13	-0.69	0.50	-0.64	0.71	-0.38	0.74	-0.05	0.60	0.30	0.46	0.61	0.03	0.54	-0.22	0.50	g
1.00	0.00	0.02	0.01	0.04	-0.01	0.02	0.01	0.01	0.04	0.00	0.00	0.02	-0.03	-0.02	0.06	-0.04	0.03	-0.02	0.00	0.04	-0.03	0.02	0.00	0.00	-0.01	0.02	-0.01	0.01	-0.02	-0.02	-0.02	0.01	0.00	b
1.00	0.00	0.86	0.00	0.82	-0.06	0.78	-0.04	0.84	0.09	0.86	0.12	0.88	-0.06	0.78	0.04	0.84	-0.07	0.84	-0.14	0.88	0.01	0.91	0.02	0.80	-0.02	0.82	-0.04	0.88	-0.06	0.74	-0.02	0.79	-0.09	g
1.00	0.00	1.00	-1.00	1.00	1.00	-1.00	1.00	1.00	-1.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00	1.00	1.00	1.00	1.00	-1.00	1.00	1.00	-1.00	1.00	-1.00	1.00	1.00	1.00	1.00	-1.00	1.00	-1.00	1.00	b
1.00	0.00	0.85	0.39	0.39	0.76	0.09	0.99	-0.43	0.89	-0.76	0.50	-0.93	0.11	-0.86	-0.31	-0.66	-0.55	-0.19	-0.86	0.28	-0.80	0.65	-0.35	0.78	-0.23	0.72	0.21	0.38	0.58	0.20	0.66	-0.11	0.65	g
1.00	0.00	1.00	1.00	1.00	0.51	0.63	-1.00	1.00	1.00	0.03	0.03	1.00	1.00	0.00	0.00	1.00	-1.00	1.00	1.00	1.00	1.00	0.31	1.00	1.00	1.00	1.00	1.00	1.00	1.00	-0.94	1.00	0.00	0.00	b
1.00	0.00	1.00	0.55	0.63	1.00	0.02	1.00	-0.49	0.92	-0.82	0.59	-1.00	0.12	-0.96	-0.33	-0.65	-0.69	-0.24	-0.86	0.35	-1.00	0.75	-0.73	0.92	-0.22	0.93	0.22	0.73	0.57	0.24	0.90	-0.12	0.90	g
1.00	0.00	0.00	0.00	-1.00	-1.00	-1.00	1.00	0.00	0.00	-1.00	1.00	1.00	1.00	1.00	-1.00	0.00	0.00	0.00	0.00	-1.00	-1.00	-1.00	1.00	1.00	0.44	1.00	-1.00	0.00	0.00	-1.00	-1.00	-1.00	1.00	b
1.00	0.00	0.44	0.44	0.54	0.91	-0.22	1.00	-0.33	0.89	-1.00	0.33	-1.00	-0.11	-1.00	-0.22	-0.67	-0.78	0.56	-1.00	-0.22	-0.78	0.78	-0.22	0.33	0.00	0.92	0.45	0.57	0.84	0.22	1.00	-0.56	1.00	g
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	b
1.00	0.00	1.00	0.00	1.00	0.00	0.50	0.50	0.75	0.00	0.91	0.12	0.89	0.14	0.87	0.16	0.75	0.25	0.75	0.50	0.75	0.00	1.00	-0.25	0.50	0.50	0.74	0.26	0.75	0.25	0.70	0.29	0.67	0.30	g
0.00	0.00	-1.00	1.00	1.00	1.00	0.00	0.00	1.00	-1.00	1.00	-1.00	1.00	-1.00	-1.00	-1.00	0.00	0.00	-1.00	-1.00	0.00	0.00	0.00	0.00	-1.00	-1.00	1.00	-1.00	1.00	1.00	-1.00	-1.00	0.00	0.00	b
1.00	0.00	1.00	0.00	1.00	0.00	0.67	0.11	1.00	-0.11	0.89	-0.11	1.00	-0.22	0.78	0.00	0.78	0.00	1.00	-0.11	0.78	-0.11	0.67	-0.11	0.67	0.00	0.90	-0.05	1.00	0.11	0.89	-0.11	1.00	0.00	g
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1.00	-1.00	0.00	0.00	1.00	0.75	0.00	0.00	0.00	0.00	-1.00	1.00	0.00	0.00	1.00	-1.00	-1.00	-1.00	1.00	1.00	0.00	0.00	b
1.00	0.00	1.00	0.45	1.00	-0.45	1.00	0.09	1.00	-0.09	1.00	0.00	1.00	-0.27	1.00	-0.18	1.00	0.09	1.00	0.00	1.00	-0.36	1.00	0.09	1.00	-0.09	1.00	-0.05	1.00	0.45	1.00	-0.27	1.00	-0.18	g
1.00	0.00	0.62	-0.64	0.00	0.00	0.00	0.00	0.34	0.29	0.43	0.39	-0.08	0.52	0.36	0.31	-0.54	0.33	0.12	-0.15	0.02	-0.53	-0.58	0.18	0.29	-0.27	0.26	-0.58	0.43	0.24	0.18	-0.02	0.17	-0.42	b
1.00	0.00	1.00	0.12	1.00	0.24	1.00	0.41	1.00	0.06	1.00	0.24	1.00	0.12	1.00	0.47	1.00	-0.06	1.00	-0.12	1.00	0.35	1.00	0.41	1.00	-0.12	1.00	0.20	1.00	0.06	1.00	0.35	1.00	0.24	g
1.00	0.00	0.00	0.00	-1.00	-0.63	1.00	0.51	0.08	-0.23	-1.00	-0.36	0.13	-0.59	1.00	-1.00	0.00	0.00	0.83	-0.08	-0.25	1.00	0.17	-0.71	0.00	0.00	-0.19	-0.47	-0.22	-0.49	0.74	0.90	-0.68	0.46	b
1.00	0.00	0.92	0.29	0.83	-0.17	0.71	0.25	0.88	-0.08	0.92	0.04	0.83	0.13	0.71	0.00	0.88	0.04	1.00	0.08	0.67	-0.08	0.75	0.17	0.83	-0.13	0.84	0.06	1.00	0.21	0.71	0.00	0.71	0.04	g
1.00	0.00	0.19	-0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	-0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.05	-0.07	0.08	0.09	0.17	-0.11	0.13	0.10	0.03	-0.05	0.17	0.20	b
1.00	0.00	1.00	-0.08	1.00	-0.11	0.99	-0.30	1.00	-0.33	0.97	-0.34	0.86	-0.47	0.92	-0.48	0.73	-0.65	0.68	-0.64	0.82	-0.78	0.59	-0.75	0.67	-0.96	0.49	-0.86	0.38	-0.84	0.24	-0.89	0.29	-0.90	g
1.00	0.00	1.00	1.00	-1.00	1.00	-1.00	-0.82	0.35	0.21	0.46	0.07	0.23	0.06	0.35	0.35	0.73	-0.04	0.23	0.53	0.00	0.00	-0.30	-0.16	1.00	-0.67	1.00	-1.00	1.00	-0.25	0.35	0.20	0.83	0.08	b
1.00	0.00	1.00	0.24	1.00	0.00	0.80	-0.30	0.90	-0.23	0.71	-0.24	0.74	-0.31	0.71	-0.36	0.47	-0.61	0.40	-0.55	0.61	-0.39	0.53	-0.33	0.24	-0.52	0.29	-0.48	0.13	-0.39	0.16	-0.51	0.18	-0.47	g
0.00	0.00	-1.00	1.00	1.00	-1.00	0.00	0.00	0.00	0.00	1.00	-1.00	1.00	1.00	0.00	0.00	1.00	-1.00	0.00	0.00	0.00	0.00	1.00	1.00	-1.00	1.00	1.00	-1.00	-1.00	1.00	-1.00	-1.00	0.00	0.00	b
1.00	0.00	0.92	-0.19	0.96	-0.18	0.87	-0.23	0.82	-0.27	0.79	-0.29	0.70	-0.50	0.63	-0.50	0.37	-0.71	0.27	-0.72	0.41	-0.54	0.34	-0.60	0.15	-0.64	0.09	-0.60	-0.07	-0.55	-0.02	-0.54	-0.07	-0.48	g
1.00	0.00	-1.00	-1.00	-0.51	1.00	1.00	-1.00	1.00	0.54	0.00	0.00	0.24	-1.00	1.00	1.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.00	-0.72	1.00	0.33	-1.00	1.00	-1.00	0.70	-1.00	0.48	1.00	b
1.00	0.00	0.84	0.43	0.50	0.76	0.10	0.93	-0.38	0.88	-0.72	0.61	-0.94	0.19	-0.87	-0.26	-0.63	-0.66	-0.25	-0.86	0.16	-0.86	0.51	-0.67	0.75	-0.29	0.78	0.08	0.64	0.43	0.31	0.62	0.00	0.69	g
1.00	0.00	1.00	1.00	0.00	0.00	1.00	-1.00	-1.00	-1.00	1.00	1.00	1.00	-1.00	0.00	0.00	1.00	-1.00	1.00	1.00	0.00	0.00	1.00	-1.00	-1.00	-1.00	1.00	1.00	-1.00	1.00	-1.00	1.00	0.00	0.00	b
