Train or Test	Speaker Number	Sex	Feature 0	Feature 1	Feature 2	Feature 3	Feature 4	Feature 5	Feature 6	Feature 7	Feature 8	Feature 9	Class
Train	Mark	Male	-3.15	1.02	0.46	0.62	-1.31	0.84	-0.12	0.91	0.33	0.88	hUd
Train	Mark	Male	-4.32	1.15	0.09	0.59	-0.31	1.32	-0.25	0.76	0.49	0.13	hud
Train	Mark	Male	-2.61	0.84	0.20	0.31	-0.85	0.78	-0.14	0.61	0.34	0.11	hed
Train	Mark	Male	-1.95	-0.60	-1.54	0.62	0.06	1.74	0.59	1.29	-0.16	-0.52	hid
Train	Mark	Male	-1.50	0.12	-1.13	-0.25	-0.37	1.29	0.35	0.85	0.31	-0.38	hId
Train	Mark	Male	-1.92	0.72	-0.95	0.30	0.22	0.79	0.13	0.59	-0.46	-0.49	hEd
Train	Mark	Male	-2.05	1.48	-0.49	0.04	-0.13	0.27	-0.11	-0.06	0.31	-0.80	hAd
Train	Mark	Male	-2.51	1.53	0.85	0.33	-1.23	-0.26	-0.26	0.86	0.07	0.07	hYd
Train	Mark	Male	-2.29	1.15	0.35	0.35	-0.71	0.08	-0.18	0.79	0.71	-0.41	had
Train	Mark	Male	-2.93	0.72	0.83	1.51	-0.52	0.07	-1.16	0.02	0.87	1.07	hOd
Train	Mark	Male	-3.53	1.27	0.90	1.89	-1.28	0.01	-1.44	0.66	0.87	1.04	hod
Train	Mark	Male	-3.14	0.86	0.42	0.70	-1.38	0.89	0.02	0.89	0.22	0.83	hUd
Train	Mark	Male	-4.39	1.16	0.16	0.61	-0.41	1.35	-0.24	0.76	0.45	0.10	hud
Train	Mark	Male	-2.70	0.92	0.27	0.31	-0.76	0.82	-0.11	0.67	0.26	0.06	hed
Train	Mark	Male	-2.06	-0.61	-1.50	0.70	0.07	1.80	0.63	1.30	-0.19	-0.54	hid
Train	Mark	Male	-1.54	0.04	-1.13	-0.21	-0.38	1.26	0.33	0.87	0.29	-0.39	hId
Train	Mark	Male	-1.93	0.73	-1.01	0.27	0.20	0.78	0.19	0.71	-0.45	-0.60	hEd
Train	Mark	Male	-2.08	1.41	-0.58	0.19	-0.35	0.52	-0.41	0.31	0.03	-0.72	hAd
Train	Mark	Male	-2.55	1.53	0.81	0.37	-1.21	-0.35	-0.25	0.89	0.05	0.08	hYd
Train	Mark	Male	-2.34	0.79	0.37	0.49	-0.67	0.28	-0.24	0.83	0.59	-0.27	had
Train	Mark	Male	-2.83	0.65	0.73	1.43	-0.72	-0.03	-0.84	0.24	0.92	0.88	hOd
Train	Mark	Male	-3.48	1.13	0.90	1.99	-1.38	-0.05	-1.27	0.65	0.84	1.04	hod
Train	Mark	Male	-3.25	0.71	0.39	0.82	-1.35	1.07	0.20	0.86	-0.06	0.49	hUd
Train	Mark	Male	-4.52	1.43	0.16	0.58	-0.35	1.34	-0.26	0.81	0.43	-0.10	hud
Train	Mark	Male	-2.80	1.02	0.25	0.33	-0.65	0.85	-0.09	0.68	0.26	-0.03	hed
Train	Jo	Female	-3.03	-1.27	0.26	1.52	0.66	1.62	-0.36	-0.47	-0.74	0.52	hid
Train	Jo	Female	-3.12	0.36	0.38	1.45	0.87	0.41	-0.92	-0.55	-0.64	0.17	hId
Train	Jo	Female	-2.61	0.43	0.23	1.34	0.32	-0.38	-0.62	-0.22	-0.28	0.35	hEd
Train	Jo	Female	-1.57	0.93	-0.18	-0.16	-0.16	-0.28	0.14	-0.05	-0.69	0.28	hAd
Train	Jo	Female	-2.76	2.07	-0.31	-0.54	-0.69	0.09	0.88	0.17	-0.45	-0.09	hYd
Train	Jo	Female	-2.50	1.61	-0.62	-0.45	-0.23	-0.15	1.16	0.12	-0.81	0.50	had
Train	Jo	Female	-3.53	2.32	1.09	0.25	-1.05	-0.43	-0.03	1.30	-0.24	-0.67	hOd
Train	Jo	Female	-3.89	3.69	0.08	-0.15	-1.09	-0.52	0.20	1.58	-0.26	-0.17	hod
Train	Jo	Female	-4.08	2.66	-0.05	-0.31	0.23	0.86	0.34	0.44	-0.55	-0.93	hUd
Train	Jo	Female	-4.16	2.81	0.56	0.60	0.58	0.48	-0.27	0.78	-1.00	-0.78	hud
Train	Jo	Female	-2.91	0.92	-0.14	-0.38	0.12	0.29	0.42	0.76	-0.90	-0.19	hed
Train	Jo	Female	-3.16	-1.14	0.30	1.44	0.69	1.64	-0.45	-0.52	-0.52	0.64	hid
Train	Jo	Female	-3.22	0.49	0.82	1.32	0.75	0.35	-0.98	-0.56	-0.49	0.17	hId
Train	Jo	Female	-2.68	0.53	0.25	1.24	0.47	-0.34	-0.65	-0.42	-0.25	0.41	hEd
Train	Jo	Female	-1.58	0.91	-0.29	0.01	-0.26	-0.23	0.19	-0.05	-0.63	0.24	hAd
Train	Jo	Female	-2.86	2.09	-0.41	-0.44	-0.64	0.32	0.82	0.10	-0.48	-0.25	hYd
Train	Jo	Female	-2.44	1.50	-0.68	-0.46	-0.14	0.00	1.01	0.06	-0.60	0.17	had
Train	Jo	Female	-3.41	2.40	1.02	0.11	-1.10	-0.32	0.10	1.54	-0.30	-0.67	hOd
Train	Jo	Female	-3.96	3.92	0.15	-0.26	-1.20	-0.25	0.20	1.16	-0.05	-0.04	hod
Train	Jo	Female	-4.07	2.75	-0.23	-0.26	0.36	0.69	0.38	0.50	-0.72	-0.86	hUd
Train	Jo	Female	-4.19	2.64	0.50	0.55	0.74	0.40	-0.03	0.80	-0.87	-0.91	hud
Train	Jo	Female	-2.92	0.92	-0.23	-0.31	0.08	0.26	0.40	0.69	-1.01	-0.16	hed
Train	Jo	Female	-3.39	-0.96	0.48	1.55	0.66	1.50	-0.65	-0.60	-0.29	0.62	hid
Train	Jo	Female	-3.13	0.28	0.95	1.26	0.75	0.44	-0.84	-0.52	-0.47	0.00	hId
Train	Jo	Female	-2.69	0.53	0.16	1.50	0.35	-0.41	-0.49	-0.51	-0.28	0.42	hEd
Train	Jo	Female	-1.69	0.81	-0.04	-0.05	-0.17	-0.37	0.12	0.05	-0.61	0.30	hAd
Train	Jo	Female	-2.93	2.20	-0.53	-0.49	-0.52	0.58	0.81	-0.13	-0.47	-0.35	hYd
Train	Jo	Female	-2.56	1.42	-0.80	-0.23	-0.08	0.24	0.77	-0.11	-0.71	0.17	had
Train	Jo	Female	-3.44	2.71	1.07	0.03	-1.12	-0.21	0.06	1.44	-0.35	-0.42	hOd
Train	Jo	Female	-4.07	3.91	-0.06	-0.38	-1.16	0.06	0.51	1.00	0.03	-0.19	hod
Train	Jo	Female	-4.07	2.57	-0.07	-0.15	0.13	0.55	0.45	0.58	-0.54	-0.90	hUd
Train	Jo	Female	-4.31	2.32	0.58	0.28	0.70	0.53	-0.07	0.81	-0.92	-1.11	hud
Train	Jo	Female	-3.02	1.03	-0.24	-0.29	0.09	0.23	0.37	0.56	-1.03	-0.15	hed
Train	Jo	Female	-3.48	-0.86	0.58	1.50	0.58	1.48	-0.66	-0.60	-0.32	0.57	hid
Train	Jo	Female	-3.05	0.08	0.98	1.19	0.76	0.50	-0.71	-0.47	-0.57	-0.15	hId
Train	Jo	Female	-2.84	0.53	0.24	1.63	0.23	-0.55	-0.64	-0.23	-0.19	0.45	hEd
Train	Jo	Female	-1.61	0.83	-0.06	-0.05	-0.04	-0.42	0.29	-0.09	-0.63	0.22	hAd
Train	Jo	Female	-2.94	2.16	-0.45	-0.21	-0.88	0.70	0.82	-0.04	-0.74	-0.19	hYd
Train	Jo	Female	-2.84	1.34	-0.71	0.00	0.13	0.41	0.54	-0.08	-1.00	0.09	had
Train	Jo	Female	-3.59	3.13	0.88	-0.19	-1.16	-0.22	0.05	1.34	-0.64	-0.25	hOd
Train	Jo	Female	-4.22	3.89	0.02	-0.14	-1.13	-0.05	0.52	1.02	0.08	-0.23	hod
Train	Jo	Female	-4.09	2.56	0.12	-0.15	0.12	0.47	0.37	0.50	-0.47	-0.89	hUd
Train	Jo	Female	-4.44	2.61	0.60	0.19	0.64	0.68	-0.14	0.77	-0.83	-1.12	hud
Train	Jo	Female	-2.98	1.03	-0.22	-0.10	0.08	0.05	0.48	0.52	-1.11	-0.13	hed
Train	Jo	Female	-3.69	-0.60	0.69	1.31	0.61	1.51	-0.75	-0.70	-0.35	0.70	hid
Train	Jo	Female	-3.28	0.32	1.05	1.15	0.73	0.17	-0.84	-0.38	-0.69	0.01	hId
Train	Jo	Female	-3.25	1.04	0.59	1.41	0.02	-0.82	-0.58	0.03	0.07	0.32	hEd
Train	Jo	Female	-1.60	0.88	-0.20	0.20	-0.12	-0.47	0.43	-0.11	-0.61	0.13	hAd
Train	Jo	Female	-2.99	2.07	-0.31	-0.08	-0.88	0.45	0.92	0.08	-0.90	-0.11	hYd
Train	Jo	Female	-3.00	1.16	-0.45	0.33	0.10	0.57	0.43	-0.02	-1.15	-0.06	had
Train	Jo	Female	-3.68	3.67	0.04	-0.51	-0.90	0.03	0.49	0.65	-0.72	-0.32	hOd
Train	Jo	Female	-4.21	3.87	0.16	-0.05	-1.25	-0.10	0.28	0.92	0.09	-0.16	hod
Train	Jo	Female	-4.13	2.69	0.31	-0.13	0.12	0.39	0.20	0.31	-0.48	-0.91	hUd
Train	Jo	Female	-4.50	3.02	0.61	0.12	0.67	0.71	-0.03	0.86	-0.70	-1.04	hud
Train	Jo	Female	-2.85	1.01	-0.22	-0.08	0.09	0.08	0.44	0.51	-1.18	-0.02	hed
Train	Jo	Female	-3.69	-0.57	0.73	1.24	0.61	1.50	-0.80	-0.76	-0.35	0.79	hid
Train	Jo	Female	-3.54	0.62	0.67	1.41	0.65	-0.44	-0.80	-0.26	-0.65	0.42	hId
Train	Jo	Female	-3.29	0.93	0.52	1.48	0.25	-0.66	-0.64	-0.09	-0.13	0.20	hEd
Train	Jo	Female	-1.71	0.94	-0.14	0.15	-0.09	-0.48	0.22	0.03	-0.69	0.19	hAd
Train	Jo	Female	-2.94	2.09	-0.35	-0.36	-0.61	0.40	0.86	0.19	-0.76	-0.23	hYd
Train	Jo	Female	-3.25	1.02	-0.29	0.71	-0.04	0.54	0.48	-0.12	-0.94	-0.11	had
Train	Jo	Female	-3.66	3.27	-0.12	-0.24	-0.75	0.09	0.69	0.38	-0.58	-0.69	hOd
Train	Jo	Female	-4.22	3.64	0.19	-0.02	-1.23	-0.32	0.13	1.03	0.06	-0.18	hod
Train	Jo	Female	-4.08	2.54	0.04	0.08	0.22	0.39	0.32	0.40	-0.66	-0.96	hUd
Train	Jo	Female	-4.54	3.05	1.03	-0.02	0.45	0.88	-0.09	0.88	-0.46	-1.10	hud
Train	Jo	Female	-2.71	0.97	-0.02	0.05	0.10	-0.15	0.38	0.48	-1.05	-0.26	hed
Train	Kate	Female	-3.32	-0.30	-0.50	0.96	0.92	0.98	1.06	-1.08	-1.00	0.11	hid
Train	Kate	Female	-3.84	1.06	-0.19	1.68	0.62	1.25	-0.81	-0.51	-1.13	0.08	hId
Train	Kate	Female	-2.66	0.77	-1.01	1.31	0.29	0.86	-0.47	-0.19	-0.72	0.41	hEd
Train	Kate	Female	-2.49	1.38	-0.93	0.47	-0.37	0.00	0.19	-0.70	-0.31	0.35	hAd
Train	Kate	Female	-2.90	2.31	-0.66	0.02	-1.12	0.25	0.47	0.48	-0.16	-0.68	hYd
Train	Kate	Female	-2.68	1.97	-0.86	0.03	-0.64	0.48	0.14	0.16	-0.22	-0.34	had
Train	Kate	Female	-3.39	2.76	-0.71	-0.03	-0.64	0.11	0.77	0.44	-0.11	-0.98	hOd
Train	Kate	Female	-4.24	3.35	-0.41	0.90	-1.03	-0.28	0.58	0.48	0.56	-0.09	hod
Train	Kate	Female	-3.74	2.70	-1.59	0.78	-0.30	1.38	0.18	1.46	-0.13	-1.30	hUd
Train	Kate	Female	-4.69	3.23	-1.15	0.70	0.45	0.30	0.45	0.00	-0.26	-1.40	hud
Train	Kate	Female	-3.01	1.63	-0.83	0.98	-0.30	0.93	0.17	0.84	-0.24	-1.14	hed
Train	Kate	Female	-3.27	-0.08	-0.69	0.76	1.04	1.19	0.89	-1.29	-1.03	0.20	hid
Train	Kate	Female	-3.62	0.92	-0.40	1.77	0.67	1.53	-0.39	-0.34	-1.28	-0.11	hId
Train	Kate	Female	-2.69	0.77	-0.87	1.34	0.32	0.93	-0.33	-0.17	-0.94	0.40	hEd
Train	Kate	Female	-2.52	1.34	-0.84	0.51	-0.49	0.10	0.05	-0.68	-0.28	0.17	hAd
Train	Kate	Female	-2.88	2.16	-0.59	0.17	-1.16	0.01	0.57	0.50	-0.09	-0.62	hYd
Train	Kate	Female	-2.59	1.81	-0.66	-0.02	-0.67	0.59	0.08	0.18	-0.09	-0.37	had
Train	Kate	Female	-3.35	2.85	-0.89	0.01	-0.55	0.29	0.90	0.32	-0.30	-1.02	hOd
Train	Kate	Female	-4.23	3.11	-0.38	1.16	-1.19	-0.36	0.52	0.51	0.67	-0.07	hod
Train	Kate	Female	-3.90	2.48	-0.95	0.70	-0.47	1.15	-0.11	1.60	0.15	-1.20	hUd
Train	Kate	Female	-4.71	3.27	-1.12	0.70	0.44	0.18	0.55	0.00	-0.17	-1.48	hud
Train	Kate	Female	-3.00	1.52	-0.87	1.01	-0.40	0.86	0.17	0.94	-0.22	-1.01	hed
Train	Kate	Female	-3.35	-0.16	-0.41	0.92	0.97	0.98	0.93	-1.21	-1.27	0.28	hid
Train	Kate	Female	-3.52	0.72	-0.37	1.79	0.58	1.68	-0.11	-0.02	-1.50	0.00	hId
Train	Kate	Female	-2.88	0.87	-0.73	1.44	0.35	0.85	-0.38	-0.23	-1.07	0.50	hEd
Train	Kate	Female	-2.61	1.40	-0.87	0.47	-0.45	0.17	-0.06	-0.66	-0.33	0.09	hAd
Train	Kate	Female	-2.86	2.26	-0.68	0.10	-1.09	0.04	0.73	0.31	-0.14	-0.64	hYd
Train	Kate	Female	-2.50	1.69	-0.61	0.02	-0.71	0.61	0.09	0.27	-0.06	-0.51	had
Train	Kate	Female	-3.24	2.74	-0.81	-0.20	-0.39	0.36	0.89	0.52	-0.30	-1.08	hOd
Train	Kate	Female	-4.19	3.23	-0.46	1.08	-1.38	-0.10	0.46	0.56	0.70	-0.32	hod
Train	Kate	Female	-3.78	2.19	-1.02	0.69	-0.46	1.19	-0.16	1.67	-0.02	-1.14	hUd
Train	Kate	Female	-4.74	3.38	-0.89	0.57	0.23	0.18	0.36	0.04	0.20	-1.68	hud
Train	Kate	Female	-3.05	1.46	-0.82	0.94	-0.44	0.85	0.09	0.87	-0.18	-0.95	hed
Train	Kate	Female	-3.59	-0.14	-0.03	1.02	1.07	0.72	0.69	-0.98	-1.43	0.25	hid
Train	Kate	Female	-3.43	0.58	-0.47	1.78	0.57	1.69	0.07	0.08	-1.48	-0.14	hId
Train	Kate	Female	-3.09	1.01	-0.63	1.51	0.34	0.75	-0.48	-0.32	-1.09	0.64	hEd
Train	Kate	Female	-2.75	1.48	-0.85	0.36	-0.28	0.02	0.00	-0.78	-0.29	0.17	hAd
Train	Kate	Female	-2.85	2.43	-0.78	-0.15	-0.90	0.24	0.75	0.14	-0.11	-0.75	hYd
Train	Kate	Female	-2.51	1.51	-0.56	0.23	-0.74	0.63	-0.01	0.52	-0.14	-0.65	had
Train	Kate	Female	-3.12	2.73	-0.86	-0.33	-0.31	0.59	0.85	0.47	-0.17	-0.90	hOd
Train	Kate	Female	-4.18	3.32	-0.45	0.99	-1.48	0.13	0.51	0.61	0.69	-0.46	hod
Train	Kate	Female	-3.78	2.06	-0.98	0.85	-0.37	0.96	-0.04	1.33	0.25	-1.09	hUd
Train	Kate	Female	-4.79	3.63	-0.71	0.30	0.37	-0.12	0.40	-0.02	0.12	-1.32	hud
Train	Kate	Female	-3.01	1.41	-0.88	0.94	-0.50	0.72	0.21	0.75	-0.04	-1.05	hed
Train	Kate	Female	-3.78	-0.01	0.10	1.12	1.04	0.65	0.62	-1.08	-1.27	0.05	hid
Train	Kate	Female	-3.39	0.56	-0.57	1.70	0.61	1.64	0.11	0.20	-1.51	-0.22	hId
Train	Kate	Female	-3.09	0.94	-0.57	1.36	0.42	0.76	-0.48	-0.14	-1.29	0.70	hEd
Train	Kate	Female	-2.85	1.45	-0.79	0.48	-0.37	0.05	-0.03	-0.76	-0.25	0.11	hAd
Train	Kate	Female	-2.88	2.42	-0.76	-0.11	-1.01	0.36	0.71	0.13	-0.02	-0.85	hYd
Train	Kate	Female	-2.66	1.26	-0.53	0.46	-0.61	0.67	-0.16	0.86	-0.42	-0.60	had
Train	Kate	Female	-3.25	2.80	-0.87	-0.20	-0.32	0.81	0.82	0.06	-0.12	-0.75	hOd
Train	Kate	Female	-4.17	3.19	-0.38	1.03	-1.41	0.01	0.51	0.63	0.80	-0.28	hod
Train	Kate	Female	-3.86	1.80	-0.72	1.13	-0.23	0.92	-0.22	1.26	0.19	-0.94	hUd
Train	Kate	Female	-4.84	3.87	-0.68	0.18	0.35	-0.18	0.32	0.06	-0.02	-1.13	hud
Train	Kate	Female	-2.97	1.30	-0.85	0.98	-0.51	0.59	0.25	0.73	0.07	-1.11	hed
Train	Kate	Female	-3.86	0.12	0.05	1.17	0.98	0.70	0.58	-1.19	-1.17	-0.08	hid
Train	Kate	Female	-3.40	0.51	-0.59	1.63	0.66	1.46	0.07	0.38	-1.49	-0.45	hId
Train	Kate	Female	-2.95	0.78	-0.74	1.31	0.42	0.85	-0.32	-0.08	-1.46	0.62	hEd
Train	Kate	Female	-3.01	1.47	-0.72	0.54	-0.39	0.05	-0.05	-0.69	-0.29	0.15	hAd
Train	Kate	Female	-2.90	2.42	-0.81	-0.04	-1.16	0.45	0.69	0.22	-0.08	-0.88	hYd
Train	Kate	Female	-2.91	1.10	-0.49	0.57	-0.39	0.77	-0.13	0.98	-0.54	-0.60	had
Train	Kate	Female	-3.46	2.65	-0.45	0.00	-0.42	0.77	0.57	-0.07	-0.08	-0.80	hOd
Train	Kate	Female	-4.08	3.34	-0.69	0.68	-1.47	0.46	0.68	0.72	0.72	-0.41	hod
Train	Kate	Female	-3.85	1.43	-0.61	1.43	-0.07	1.13	-0.54	1.16	-0.12	-0.38	hUd
Train	Kate	Female	-4.89	3.97	-0.95	0.37	0.25	-0.12	0.43	-0.01	0.02	-1.52	hud
Train	Kate	Female	-2.98	1.29	-0.84	0.95	-0.49	0.57	0.27	0.69	0.08	-1.10	hed
Train	Penny	Female	-3.21	-0.61	-0.52	1.10	1.53	1.07	0.19	-0.95	-0.25	-0.06	hid
Train	Penny	Female	-2.57	-0.11	-0.84	0.73	1.11	0.96	-0.08	0.15	-0.89	0.31	hId
Train	Penny	Female	-2.21	0.66	-0.58	1.14	0.24	0.07	-0.63	-0.37	-0.33	0.56	hEd
Train	Penny	Female	-1.88	2.21	-0.67	0.15	-0.15	-0.40	0.25	-0.10	-0.87	0.25	hAd
Train	Penny	Female	-2.49	2.82	-0.24	-0.33	-1.36	0.28	0.10	0.93	-0.97	-0.31	hYd
Train	Penny	Female	-2.34	2.90	-0.29	-0.42	-0.64	0.35	0.12	0.45	-1.13	0.11	had
Train	Penny	Female	-2.71	2.33	0.70	0.24	-1.43	-0.22	-0.32	1.52	-0.16	-0.70	hOd
Train	Penny	Female	-4.21	3.29	-0.11	-1.25	-0.68	0.54	0.58	0.83	-0.04	-0.76	hod
Train	Penny	Female	-3.98	2.29	-0.10	-0.71	0.30	0.32	0.86	1.40	-1.25	-0.30	hUd
Train	Penny	Female	-4.96	2.78	0.47	0.05	0.42	-0.33	0.33	0.47	-1.26	-0.22	hud
Train	Penny	Female	-2.53	1.29	-0.14	-0.17	-0.08	0.26	-0.05	0.68	-1.40	-0.07	hed
Train	Penny	Female	-3.43	-0.50	-0.36	1.17	1.59	0.96	0.16	-0.85	-0.36	0.08	hid
Train	Penny	Female	-2.66	-0.10	-0.69	0.70	1.08	1.04	-0.15	0.18	-0.93	0.33	hId
Train	Penny	Female	-2.10	0.65	-0.84	1.20	0.38	0.14	-0.50	-0.55	-0.40	0.60	hEd
Train	Penny	Female	-1.93	2.17	-0.57	0.26	-0.16	-0.49	0.27	-0.15	-0.67	0.00	hAd
Train	Penny	Female	-2.51	2.83	-0.17	-0.38	-1.50	0.38	0.07	0.90	-0.90	-0.41	hYd
Train	Penny	Female	-2.35	2.90	-0.43	-0.19	-0.71	0.36	0.26	0.27	-1.21	0.36	had
Train	Penny	Female	-2.71	2.40	0.73	0.34	-1.44	-0.34	-0.41	1.47	-0.02	-0.72	hOd
Train	Penny	Female	-4.34	3.51	-0.45	-1.05	-0.47	0.51	0.62	0.80	-0.40	-0.78	hod
Train	Penny	Female	-4.05	2.19	0.20	-0.75	0.22	0.39	0.63	1.48	-1.21	-0.27	hUd
Train	Penny	Female	-5.02	2.55	0.56	-0.14	0.53	-0.06	0.37	0.63	-1.41	-0.27	hud
Train	Penny	Female	-2.66	1.63	-0.38	-0.11	0.00	0.23	0.03	0.48	-1.56	0.22	hed
Train	Penny	Female	-3.59	-0.38	-0.36	1.31	1.59	0.99	0.18	-0.83	-0.47	0.20	hid
Train	Penny	Female	-2.89	-0.04	-0.49	0.72	1.10	1.00	-0.41	0.10	-0.86	0.36	hId
Train	Penny	Female	-2.28	0.67	-0.80	1.29	0.31	0.01	-0.41	-0.61	-0.27	0.58	hEd
Train	Penny	Female	-1.99	2.16	-0.60	0.42	-0.29	-0.49	0.21	-0.22	-0.56	0.08	hAd
Train	Penny	Female	-2.56	2.83	-0.28	-0.37	-1.59	0.41	0.12	0.93	-0.95	-0.36	hYd
Train	Penny	Female	-2.41	2.52	-0.28	0.09	-0.90	0.28	0.30	0.25	-1.21	0.37	had
Train	Penny	Female	-2.78	2.56	0.53	0.28	-1.47	-0.37	-0.28	1.48	-0.16	-0.80	hOd
Train	Penny	Female	-4.38	3.72	-0.90	-0.96	-0.16	0.50	0.81	0.66	-0.61	-0.83	hod
Train	Penny	Female	-4.11	2.17	0.21	-0.81	0.33	0.63	0.40	1.10	-1.33	-0.04	hUd
Train	Penny	Female	-5.07	2.12	0.83	-0.27	0.58	0.14	0.31	1.00	-1.41	-0.31	hud
Train	Penny	Female	-2.81	1.95	-0.66	0.11	-0.01	0.11	0.19	0.10	-1.54	0.59	hed
Train	Penny	Female	-3.76	-0.32	-0.24	1.27	1.75	1.13	0.23	-0.72	-0.50	0.31	hid
Train	Penny	Female	-3.15	0.09	-0.32	0.87	1.08	0.75	-0.52	0.00	-0.82	0.48	hId
Train	Penny	Female	-2.56	0.75	-0.66	1.37	0.04	-0.01	-0.44	-0.53	-0.06	0.42	hEd
Train	Penny	Female	-2.01	2.16	-0.63	0.39	-0.24	-0.44	0.10	-0.27	-0.65	0.17	hAd
Train	Penny	Female	-2.60	2.73	-0.32	-0.25	-1.67	0.23	0.20	1.01	-0.87	-0.46	hYd
Train	Penny	Female	-2.52	2.27	-0.28	0.27	-0.91	0.27	0.35	-0.03	-1.18	0.43	had
Train	Penny	Female	-2.92	2.62	0.21	0.12	-1.48	-0.17	0.05	1.38	-0.63	-0.76	hOd
Train	Penny	Female	-4.42	3.77	-1.23	-0.85	0.04	0.54	0.88	0.53	-0.76	-0.79	hod
Train	Penny	Female	-4.07	2.25	-0.28	-0.72	0.70	0.68	0.24	0.69	-1.45	0.19	hUd
Train	Penny	Female	-5.08	2.24	0.97	-0.37	0.50	0.23	0.14	0.85	-1.32	-0.30	hud
Train	Penny	Female	-2.93	2.01	-0.70	0.21	-0.09	0.15	0.14	-0.03	-1.44	0.62	hed
Train	Penny	Female	-4.25	-0.03	0.25	1.37	1.83	1.17	0.09	-0.52	-0.32	0.35	hid
Train	Penny	Female	-3.18	0.15	-0.41	0.92	1.09	0.58	-0.45	-0.09	-0.90	0.69	hId
Train	Penny	Female	-2.51	0.56	-0.78	1.30	0.03	0.25	-0.49	-0.65	-0.03	0.48	hEd
Train	Penny	Female	-2.04	2.12	-0.58	0.55	-0.43	-0.29	0.00	-0.23	-0.75	0.25	hAd
Train	Penny	Female	-2.64	2.70	-0.34	-0.23	-1.65	0.06	0.28	0.95	-0.65	-0.57	hYd
Train	Penny	Female	-2.73	2.10	-0.50	0.14	-0.53	0.46	0.15	-0.41	-1.06	0.63	had
Train	Penny	Female	-3.03	2.71	-0.15	-0.03	-1.34	0.05	0.36	1.10	-1.02	-0.65	hOd
Train	Penny	Female	-4.41	3.74	-1.31	-0.81	0.17	0.59	0.98	0.42	-0.82	-0.75	hod
Train	Penny	Female	-4.04	2.14	-0.35	-0.60	0.84	0.66	-0.01	0.51	-1.41	0.21	hUd
Train	Penny	Female	-5.16	2.49	1.06	-0.34	0.35	0.18	-0.05	0.82	-1.31	-0.25	hud
Train	Penny	Female	-2.91	1.99	-0.90	0.20	0.01	0.35	-0.03	-0.15	-1.26	0.49	hed
Train	Penny	Female	-4.69	0.41	0.89	1.46	1.62	1.02	-0.12	-0.40	-0.31	0.29	hid
Train	Penny	Female	-3.10	0.10	-0.45	0.88	1.07	0.50	-0.30	-0.07	-0.97	0.71	hId
Train	Penny	Female	-2.45	0.28	-0.81	1.14	0.24	0.18	-0.10	-0.75	-0.33	0.73	hEd
Train	Penny	Female	-2.08	2.04	-0.52	0.58	-0.46	-0.25	-0.04	-0.16	-0.81	0.43	hAd
Train	Penny	Female	-2.66	2.74	-0.38	-0.31	-1.64	0.08	0.28	0.88	-0.54	-0.55	hYd
Train	Penny	Female	-2.98	2.00	-0.92	0.19	0.04	0.47	-0.13	-0.69	-0.68	0.66	had
Train	Penny	Female	-3.10	2.53	-0.32	-0.32	-1.08	0.28	0.44	0.85	-0.95	-0.71	hOd
Train	Penny	Female	-4.40	3.60	-0.94	-0.93	0.04	0.41	1.00	0.47	-0.48	-0.62	hod
Train	Penny	Female	-4.20	2.20	-0.31	-0.39	0.97	0.70	-0.33	0.13	-0.90	0.15	hUd
Train	Penny	Female	-5.21	2.54	0.82	-0.33	0.45	0.23	0.13	0.89	-1.39	-0.30	hud
Train	Penny	Female	-2.75	1.78	-0.72	0.06	-0.01	0.40	0.12	0.05	-1.43	0.28	hed
Train	Rose	Female	-5.06	2.24	1.38	1.88	-0.26	-0.48	-0.56	0.12	-0.06	0.66	hid
Train	Rose	Female	-4.18	1.65	0.74	1.29	0.72	-0.51	-1.13	-0.45	-0.65	1.00	hId
Train	Rose	Female	-3.75	0.83	-0.04	1.41	0.21	-0.53	-0.52	-0.40	-0.39	1.07	hEd
Train	Rose	Female	-3.49	1.21	-0.61	0.24	-0.43	0.13	0.24	0.55	-0.59	0.68	hAd
Train	Rose	Female	-2.81	2.33	-1.25	-0.18	-0.75	0.49	1.20	-0.56	-0.67	0.05	hYd
Train	Rose	Female	-3.13	1.98	-1.40	0.25	-0.67	0.53	0.39	-0.18	-0.58	0.84	had
Train	Rose	Female	-3.75	3.02	-0.75	-0.45	-0.67	0.21	0.74	0.90	-1.61	0.13	hOd
Train	Rose	Female	-4.37	4.64	-0.79	-1.33	-0.20	0.60	0.19	1.13	-1.13	-0.28	hod
Train	Rose	Female	-4.47	4.12	-0.42	-1.20	0.34	0.60	-0.11	0.31	-1.25	-0.01	hUd
Train	Rose	Female	-4.90	4.49	-0.56	-0.54	-0.16	-0.30	0.84	-0.16	-0.91	0.36	hud
Train	Rose	Female	-4.13	2.30	-0.17	-0.27	0.10	0.32	-0.47	-0.25	-0.41	0.86	hed
Train	Rose	Female	-5.12	2.32	1.41	1.80	-0.28	-0.33	-0.75	0.22	0.06	0.46	hid
Train	Rose	Female	-4.39	2.14	0.57	1.40	0.29	-0.84	-0.97	-0.46	-0.28	1.18	hId
Train	Rose	Female	-3.96	1.08	0.11	1.23	0.21	-0.67	-0.54	-0.33	-0.27	1.10	hEd
Train	Rose	Female	-3.65	1.22	-0.57	0.25	-0.30	0.16	0.15	0.55	-0.58	0.62	hAd
