checking_status	duration	credit_history	purpose	credit_amount	savings_status	employment	installment_commitment	personal_status	other_parties	residence_since	property_magnitude	age	other_payment_plans	housing	existing_credits	job	num_dependents	own_telephone	foreign_worker	class
'<0'	18.00	'existing paid'	furniture/equipment	2462.00	'<100'	'1<=X<4'	2.00	'male single'	none	2.00	car	22.00	none	own	1.00	skilled	1.00	none	yes	bad
'no checking'	21.00	'critical/other existing 	furniture/equipment	2288.00	'<100'	'<1'	4.00	'female div/dep/mar'	none	4.00	'life insurance'	23.00	none	own	1.00	skilled	1.00	yes	yes	good
'0<=X<200'	48.00	'all paid'	business	3566.00	'100<=X<500'	'4<=X<7'	4.00	'male single'	none	2.00	car	30.00	none	own	1.00	skilled	1.00	none	yes	good
'<0'	6.00	'critical/other existing 	'new car'	860.00	'<100'	'>=7'	1.00	'female div/dep/mar'	none	4.00	'no known property'	39.00	none	own	2.00	skilled	1.00	yes	yes	good
'no checking'	12.00	'critical/other existing 	'new car'	682.00	'100<=X<500'	'4<=X<7'	4.00	'female div/dep/mar'	none	3.00	car	51.00	none	own	2.00	skilled	1.00	yes	yes	good
'<0'	36.00	'critical/other existing 	furniture/equipment	5371.00	'<100'	'1<=X<4'	3.00	'male single'	guarantor	2.00	'life insurance'	28.00	none	own	2.00	skilled	1.00	none	yes	good
'no checking'	18.00	'critical/other existing 	radio/tv	1582.00	'>=1000'	'>=7'	4.00	'male single'	none	4.00	car	46.00	none	own	2.00	skilled	1.00	none	yes	good
'no checking'	6.00	'existing paid'	radio/tv	1346.00	'100<=X<500'	'>=7'	2.00	'male single'	none	4.00	'no known property'	42.00	bank	'for free'	1.00	skilled	2.00	yes	yes	good
'no checking'	10.00	'existing paid'	radio/tv	1924.00	'<100'	'1<=X<4'	1.00	'male single'	none	4.00	'life insurance'	38.00	none	own	1.00	skilled	1.00	yes	no	good
'>=200'	36.00	'existing paid'	radio/tv	5848.00	'<100'	'1<=X<4'	4.00	'male single'	none	1.00	car	24.00	none	own	1.00	skilled	1.00	none	yes	good
'0<=X<200'	24.00	'critical/other existing 	'used car'	7758.00	'>=1000'	'>=7'	2.00	'female div/dep/mar'	none	4.00	'no known property'	29.00	none	rent	1.00	skilled	1.00	none	yes	good
'0<=X<200'	24.00	'delayed previously'	business	6967.00	'100<=X<500'	'4<=X<7'	4.00	'male single'	none	4.00	car	36.00	none	rent	1.00	'high qualif/self emp/mgm	1.00	yes	yes	good
'<0'	12.00	'existing paid'	furniture/equipment	1282.00	'<100'	'1<=X<4'	2.00	'female div/dep/mar'	none	4.00	car	20.00	none	rent	1.00	skilled	1.00	none	yes	bad
'<0'	9.00	'critical/other existing 	repairs	1288.00	'100<=X<500'	'>=7'	3.00	'male single'	guarantor	4.00	'real estate'	48.00	none	own	2.00	skilled	2.00	none	no	good
'<0'	12.00	'all paid'	retraining	339.00	'<100'	'>=7'	4.00	'male mar/wid'	none	1.00	car	45.00	bank	own	1.00	'unskilled resident'	1.00	none	yes	good
'0<=X<200'	24.00	'existing paid'	'new car'	3512.00	'100<=X<500'	'4<=X<7'	2.00	'male single'	none	3.00	car	38.00	bank	own	2.00	skilled	1.00	yes	yes	good
'no checking'	6.00	'critical/other existing 	radio/tv	1898.00	'no known savings'	'1<=X<4'	1.00	'male single'	none	2.00	'real estate'	34.00	none	own	2.00	'unskilled resident'	2.00	none	yes	good
'no checking'	24.00	'critical/other existing 	radio/tv	2872.00	'100<=X<500'	'>=7'	3.00	'male single'	none	4.00	'real estate'	36.00	none	own	1.00	skilled	2.00	yes	yes	good
'no checking'	18.00	'critical/other existing 	'new car'	1055.00	'<100'	'<1'	4.00	'female div/dep/mar'	none	1.00	'life insurance'	30.00	none	own	2.00	skilled	1.00	none	yes	good
'no checking'	15.00	'existing paid'	'domestic appliance'	1262.00	'500<=X<1000'	'4<=X<7'	4.00	'male single'	none	3.00	'life insurance'	36.00	none	own	2.00	skilled	1.00	yes	yes	good
'0<=X<200'	10.00	'existing paid'	'new car'	7308.00	'<100'	unemployed	2.00	'male single'	none	4.00	'no known property'	70.00	bank	'for free'	1.00	'high qualif/self emp/mgm	1.00	yes	yes	good
'no checking'	36.00	'existing paid'	'new car'	909.00	'500<=X<1000'	'>=7'	4.00	'male single'	none	4.00	'life insurance'	36.00	none	own	1.00	skilled	1.00	none	yes	good
'no checking'	6.00	'existing paid'	furniture/equipment	2978.00	'500<=X<1000'	'1<=X<4'	1.00	'male single'	none	2.00	car	32.00	none	own	1.00	skilled	1.00	yes	yes	good
'<0'	18.00	'existing paid'	furniture/equipment	1131.00	'<100'	unemployed	4.00	'female div/dep/mar'	none	2.00	car	33.00	none	own	1.00	skilled	1.00	none	yes	bad
'0<=X<200'	11.00	'existing paid'	furniture/equipment	1577.00	'>=1000'	'<1'	4.00	'female div/dep/mar'	none	1.00	'real estate'	20.00	none	own	1.00	skilled	1.00	none	yes	good
'no checking'	24.00	'existing paid'	furniture/equipment	3972.00	'<100'	'4<=X<7'	2.00	'female div/dep/mar'	none	4.00	'life insurance'	25.00	none	rent	1.00	skilled	1.00	yes	yes	good
'0<=X<200'	24.00	'critical/other existing 	business	1935.00	'<100'	'>=7'	4.00	'male div/sep'	none	4.00	'real estate'	31.00	none	own	2.00	skilled	1.00	yes	yes	bad
'<0'	15.00	'no credits/all paid'	'new car'	950.00	'<100'	'>=7'	4.00	'male single'	none	3.00	car	33.00	none	rent	2.00	skilled	2.00	none	yes	bad
'no checking'	12.00	'existing paid'	furniture/equipment	763.00	'<100'	'1<=X<4'	4.00	'female div/dep/mar'	none	1.00	'real estate'	26.00	none	own	1.00	skilled	1.00	yes	yes	good
'0<=X<200'	24.00	'delayed previously'	furniture/equipment	2064.00	'<100'	unemployed	3.00	'female div/dep/mar'	none	2.00	'life insurance'	34.00	none	own	1.00	'high qualif/self emp/mgm	1.00	yes	yes	bad
'0<=X<200'	8.00	'existing paid'	radio/tv	1414.00	'<100'	'1<=X<4'	4.00	'male single'	guarantor	2.00	'real estate'	33.00	none	own	1.00	skilled	1.00	none	no	good
'<0'	21.00	'delayed previously'	education	3414.00	'<100'	'<1'	2.00	'male single'	none	1.00	'life insurance'	26.00	none	own	2.00	skilled	1.00	none	yes	bad
'no checking'	30.00	'all paid'	'used car'	7485.00	'no known savings'	unemployed	4.00	'female div/dep/mar'	none	1.00	'real estate'	53.00	bank	own	1.00	'high qualif/self emp/mgm	1.00	yes	yes	bad
'<0'	12.00	'existing paid'	furniture/equipment	2577.00	'<100'	'1<=X<4'	2.00	'male div/sep'	none	1.00	car	42.00	none	own	1.00	skilled	1.00	none	yes	good
'<0'	6.00	'critical/other existing 	radio/tv	338.00	'500<=X<1000'	'>=7'	4.00	'male single'	none	4.00	car	52.00	none	own	2.00	skilled	1.00	none	yes	good
'no checking'	12.00	'existing paid'	radio/tv	1963.00	'<100'	'4<=X<7'	4.00	'male single'	none	2.00	car	31.00	none	rent	2.00	'high qualif/self emp/mgm	2.00	yes	yes	good
'<0'	21.00	'critical/other existing 	'new car'	571.00	'<100'	'>=7'	4.00	'male single'	none	4.00	'real estate'	65.00	none	own	2.00	skilled	1.00	none	yes	good
'no checking'	36.00	'delayed previously'	business	9572.00	'<100'	'<1'	1.00	'male div/sep'	none	1.00	car	28.00	none	own	2.00	skilled	1.00	none	yes	bad
'0<=X<200'	36.00	'delayed previously'	business	4455.00	'<100'	'1<=X<4'	2.00	'male div/sep'	none	2.00	'real estate'	30.00	stores	own	2.00	'high qualif/self emp/mgm	1.00	yes	yes	bad
'<0'	21.00	'all paid'	'new car'	1647.00	'no known savings'	'1<=X<4'	4.00	'male single'	none	2.00	'life insurance'	40.00	none	own	2.00	'unskilled resident'	2.00	none	yes	bad
'no checking'	24.00	'critical/other existing 	furniture/equipment	3777.00	'>=1000'	'1<=X<4'	4.00	'male single'	none	4.00	'real estate'	50.00	none	own	1.00	skilled	1.00	yes	yes	good
'0<=X<200'	18.00	'critical/other existing 	'new car'	884.00	'<100'	'>=7'	4.00	'male single'	none	4.00	car	36.00	bank	own	1.00	skilled	2.00	yes	yes	bad
'no checking'	15.00	'critical/other existing 	radio/tv	1360.00	'<100'	'1<=X<4'	4.00	'male single'	none	2.00	'life insurance'	31.00	none	own	2.00	skilled	1.00	none	yes	good
'0<=X<200'	9.00	'all paid'	'used car'	5129.00	'<100'	'>=7'	2.00	'female div/dep/mar'	none	4.00	'no known property'	74.00	bank	'for free'	1.00	'high qualif/self emp/mgm	2.00	yes	yes	bad
'0<=X<200'	16.00	'critical/other existing 	'new car'	1175.00	'<100'	unemployed	2.00	'male single'	none	3.00	car	68.00	none	'for free'	3.00	'unemp/unskilled non res'	1.00	yes	yes	good
'<0'	12.00	'existing paid'	radio/tv	674.00	'100<=X<500'	'4<=X<7'	4.00	'male mar/wid'	none	1.00	'life insurance'	20.00	none	own	1.00	skilled	1.00	none	yes	bad
'0<=X<200'	18.00	'no credits/all paid'	furniture/equipment	3244.00	'<100'	'1<=X<4'	1.00	'female div/dep/mar'	none	4.00	car	33.00	bank	own	2.00	skilled	1.00	yes	yes	good
'no checking'	24.00	'existing paid'	business	4591.00	'>=1000'	'1<=X<4'	2.00	'male single'	none	3.00	'life insurance'	54.00	none	own	3.00	'high qualif/self emp/mgm	1.00	yes	yes	bad
'0<=X<200'	48.00	'no credits/all paid'	business	3844.00	'100<=X<500'	'4<=X<7'	4.00	'male single'	none	4.00	'no known property'	34.00	none	'for free'	1.00	'unskilled resident'	2.00	none	yes	bad
'0<=X<200'	27.00	'existing paid'	business	3915.00	'<100'	'1<=X<4'	4.00	'male single'	none	2.00	car	36.00	none	own	1.00	skilled	2.00	yes	yes	bad
'no checking'	6.00	'existing paid'	radio/tv	2108.00	'<100'	'4<=X<7'	2.00	'male mar/wid'	none	2.00	'real estate'	29.00	none	rent	1.00	skilled	1.00	none	yes	good
'0<=X<200'	45.00	'existing paid'	radio/tv	3031.00	'100<=X<500'	'1<=X<4'	4.00	'male single'	guarantor	4.00	'life insurance'	21.00	none	rent	1.00	skilled	1.00	none	yes	bad
'0<=X<200'	9.00	'critical/other existing 	education	1501.00	'<100'	'>=7'	2.00	'female div/dep/mar'	none	3.00	car	34.00	none	own	2.00	'high qualif/self emp/mgm	1.00	yes	yes	bad
'no checking'	6.00	'critical/other existing 	radio/tv	1382.00	'<100'	'1<=X<4'	1.00	'female div/dep/mar'	none	1.00	car	28.00	none	own	2.00	skilled	1.00	yes	yes	good
'0<=X<200'	12.00	'existing paid'	furniture/equipment	951.00	'100<=X<500'	'<1'	4.00	'female div/dep/mar'	none	4.00	car	27.00	bank	rent	4.00	skilled	1.00	none	yes	bad
'0<=X<200'	24.00	'existing paid'	'used car'	2760.00	'no known savings'	'>=7'	4.00	'male single'	none	4.00	'no known property'	36.00	bank	'for free'	1.00	skilled	1.00	yes	yes	good
'0<=X<200'	18.00	'delayed previously'	furniture/equipment	4297.00	'<100'	'>=7'	4.00	'male div/sep'	none	3.00	'no known property'	40.00	none	own	1.00	'high qualif/self emp/mgm	1.00	yes	yes	bad
'no checking'	9.00	'critical/other existing 	education	936.00	'500<=X<1000'	'>=7'	4.00	'male single'	none	2.00	car	52.00	none	own	2.00	skilled	1.00	yes	yes	good
'<0'	12.00	'existing paid'	'new car'	1168.00	'<100'	'1<=X<4'	4.00	'male mar/wid'	none	3.00	'real estate'	27.00	none	own	1.00	'unskilled resident'	1.00	none	yes	good
'no checking'	27.00	'delayed previously'	business	5117.00	'<100'	'4<=X<7'	3.00	'male single'	none	4.00	car	26.00	none	own	2.00	skilled	1.00	none	yes	good
'<0'	12.00	'existing paid'	retraining	902.00	'<100'	'4<=X<7'	4.00	'male mar/wid'	none	4.00	'life insurance'	21.00	none	rent	1.00	skilled	1.00	none	yes	bad
'no checking'	12.00	'critical/other existing 	'new car'	1495.00	'<100'	'>=7'	4.00	'male single'	none	1.00	'real estate'	38.00	none	own	2.00	'unskilled resident'	2.00	none	yes	good
'<0'	30.00	'critical/other existing 	'used car'	10623.00	'<100'	'>=7'	3.00	'male single'	none	4.00	'no known property'	38.00	none	'for free'	3.00	'high qualif/self emp/mgm	2.00	yes	yes	good
'no checking'	12.00	'critical/other existing 	furniture/equipment	1935.00	'<100'	'>=7'	4.00	'male single'	none	4.00	'real estate'	43.00	none	own	3.00	skilled	1.00	yes	yes	good
'0<=X<200'	12.00	'critical/other existing 	'domestic appliance'	1424.00	'<100'	'4<=X<7'	4.00	'male single'	none	3.00	'life insurance'	26.00	none	own	1.00	skilled	1.00	none	yes	good
'<0'	24.00	'existing paid'	business	6568.00	'<100'	'1<=X<4'	2.00	'male mar/wid'	none	2.00	car	21.00	stores	own	1.00	'unskilled resident'	1.00	none	yes	good
'no checking'	12.00	'existing paid'	'used car'	1413.00	'>=1000'	'4<=X<7'	3.00	'male single'	none	2.00	'life insurance'	55.00	none	own	1.00	skilled	1.00	none	no	good
'no checking'	9.00	'critical/other existing 	radio/tv	3074.00	'no known savings'	'1<=X<4'	1.00	'male single'	none	2.00	'real estate'	33.00	none	own	2.00	skilled	2.00	none	yes	good
'no checking'	36.00	'existing paid'	radio/tv	3835.00	'no known savings'	'>=7'	2.00	'female div/dep/mar'	none	4.00	'real estate'	45.00	none	own	1.00	'unskilled resident'	1.00	yes	yes	good
'<0'	27.00	'no credits/all paid'	business	5293.00	'<100'	unemployed	2.00	'male single'	none	4.00	'life insurance'	50.00	stores	own	2.00	skilled	1.00	yes	yes	bad
'>=200'	30.00	'delayed previously'	business	1908.00	'<100'	'>=7'	4.00	'male single'	none	4.00	'real estate'	66.00	none	own	1.00	'high qualif/self emp/mgm	1.00	yes	yes	bad
'no checking'	36.00	'critical/other existing 	radio/tv	3342.00	'no known savings'	'>=7'	4.00	'male single'	none	2.00	car	51.00	none	own	1.00	skilled	1.00	yes	yes	good
'0<=X<200'	6.00	'critical/other existing 	retraining	932.00	'no known savings'	'4<=X<7'	1.00	'female div/dep/mar'	none	3.00	'life insurance'	39.00	none	own	2.00	'unskilled resident'	1.00	none	yes	good
'<0'	18.00	'no credits/all paid'	business	3104.00	'<100'	'4<=X<7'	3.00	'male single'	none	1.00	'life insurance'	31.00	bank	own	1.00	skilled	1.00	yes	yes	good
'>=200'	36.00	'existing paid'	radio/tv	3913.00	'<100'	'1<=X<4'	2.00	'male single'	none	2.00	'real estate'	23.00	none	own	1.00	skilled	1.00	yes	yes	good
'<0'	24.00	'existing paid'	furniture/equipment	3021.00	'<100'	'1<=X<4'	2.00	'male div/sep'	none	2.00	'real estate'	24.00	none	rent	1.00	'unskilled resident'	1.00	none	yes	good
'no checking'	10.00	'existing paid'	'new car'	1364.00	'<100'	'1<=X<4'	2.00	'female div/dep/mar'	none	4.00	car	64.00	none	own	1.00	skilled	1.00	yes	yes	good
'0<=X<200'	12.00	'existing paid'	radio/tv	625.00	'<100'	'<1'	4.00	'male mar/wid'	guarantor	1.00	'real estate'	26.00	bank	own	1.00	'unskilled resident'	1.00	none	yes	good
'<0'	12.00	'existing paid'	education	1200.00	'no known savings'	'1<=X<4'	4.00	'female div/dep/mar'	none	4.00	'life insurance'	23.00	bank	rent	1.00	skilled	1.00	yes	yes	good
'no checking'	12.00	'existing paid'	radio/tv	707.00	'<100'	'1<=X<4'	4.00	'male single'	none	2.00	'real estate'	30.00	bank	own	2.00	skilled	1.00	none	yes	good
'no checking'	24.00	'delayed previously'	business	2978.00	'no known savings'	'1<=X<4'	4.00	'male single'	none	4.00	'real estate'	32.00	none	own	2.00	skilled	2.00	yes	yes	good
'no checking'	15.00	'existing paid'	'used car'	4657.00	'<100'	'1<=X<4'	3.00	'male single'	none	2.00	car	30.00	none	own	1.00	skilled	1.00	yes	yes	good
'no checking'	36.00	'no credits/all paid'	repairs	2613.00	'<100'	'1<=X<4'	4.00	'male single'	none	2.00	car	27.00	none	own	2.00	skilled	1.00	none	yes	good
'0<=X<200'	48.00	'existing paid'	radio/tv	10961.00	'>=1000'	'4<=X<7'	1.00	'male single'	'co applicant'	2.00	'no known property'	27.00	bank	own	2.00	skilled	1.00	yes	yes	bad
'<0'	12.00	'existing paid'	furniture/equipment	7865.00	'<100'	'>=7'	4.00	'male single'	none	4.00	'no known property'	53.00	none	'for free'	1.00	'high qualif/self emp/mgm	1.00	yes	yes	bad
'no checking'	9.00	'existing paid'	radio/tv	1478.00	'<100'	'4<=X<7'	4.00	'male single'	none	2.00	car	22.00	none	own	1.00	skilled	1.00	none	yes	bad
'<0'	24.00	'existing paid'	furniture/equipment	3149.00	'<100'	'<1'	4.00	'male single'	none	1.00	'no known property'	22.00	bank	'for free'	1.00	skilled	1.00	none	yes	good
'>=200'	36.00	'existing paid'	radio/tv	4210.00	'<100'	'1<=X<4'	4.00	'male single'	none	2.00	car	26.00	none	own	1.00	skilled	1.00	none	yes	bad
'no checking'	9.00	'existing paid'	'new car'	2507.00	'500<=X<1000'	'>=7'	2.00	'male single'	none	4.00	'no known property'	51.00	none	'for free'	1.00	'unskilled resident'	1.00	none	yes	good
'no checking'	12.00	'existing paid'	radio/tv	2141.00	'100<=X<500'	'4<=X<7'	3.00	'male single'	none	1.00	'no known property'	35.00	none	own	1.00	skilled	1.00	none	yes	good
'0<=X<200'	18.00	'existing paid'	radio/tv	866.00	'<100'	'1<=X<4'	4.00	'male mar/wid'	guarantor	2.00	'real estate'	25.00	none	own	1.00	'unskilled resident'	1.00	none	yes	good
'no checking'	4.00	'critical/other existing 	radio/tv	1544.00	'<100'	'4<=X<7'	2.00	'male single'	none	1.00	'real estate'	42.00	none	own	3.00	'unskilled resident'	2.00	none	yes	good
'<0'	24.00	'existing paid'	radio/tv	1823.00	'<100'	unemployed	4.00	'male single'	none	2.00	car	30.00	stores	own	1.00	'high qualif/self emp/mgm	2.00	none	yes	bad
'0<=X<200'	6.00	'existing paid'	'new car'	14555.00	'no known savings'	unemployed	1.00	'male single'	none	2.00	'life insurance'	23.00	none	own	1.00	'unemp/unskilled non res'	1.00	yes	yes	bad
'0<=X<200'	21.00	'existing paid'	business	2767.00	'100<=X<500'	'>=7'	4.00	'male div/sep'	none	2.00	car	61.00	bank	rent	2.00	'unskilled resident'	1.00	none	yes	bad
'no checking'	12.00	'critical/other existing 	radio/tv	1291.00	'<100'	'1<=X<4'	4.00	'female div/dep/mar'	none	2.00	'life insurance'	35.00	none	own	2.00	skilled	1.00	none	yes	good
'<0'	30.00	'existing paid'	radio/tv	2522.00	'<100'	'>=7'	1.00	'male single'	guarantor	3.00	'life insurance'	39.00	none	own	1.00	skilled	2.00	none	yes	good
'<0'	24.00	'existing paid'	'new car'	915.00	'no known savings'	'>=7'	4.00	'female div/dep/mar'	none	2.00	car	29.00	bank	own	1.00	skilled	1.00	none	yes	bad
'no checking'	6.00	'existing paid'	radio/tv	1595.00	'<100'	'4<=X<7'	3.00	'male single'	none	2.00	'life insurance'	51.00	none	own	1.00	skilled	2.00	none	yes	good
'<0'	48.00	'no credits/all paid'	'used car'	4605.00	'<100'	'>=7'	3.00	'male single'	none	4.00	'no known property'	24.00	none	'for free'	2.00	skilled	2.00	none	yes	bad
'no checking'	12.00	'critical/other existing 	business	1185.00	'<100'	'1<=X<4'	3.00	'female div/dep/mar'	none	2.00	'real estate'	27.00	none	own	2.00	skilled	1.00	none	yes	good
'no checking'	12.00	'all paid'	retraining	3447.00	'500<=X<1000'	'1<=X<4'	4.00	'female div/dep/mar'	none	3.00	'real estate'	35.00	none	own	1.00	'unskilled resident'	2.00	none	yes	good
'no checking'	24.00	'existing paid'	business	1258.00	'<100'	'4<=X<7'	4.00	'male single'	none	1.00	'real estate'	25.00	none	own	1.00	skilled	1.00	yes	yes	good
'no checking'	12.00	'critical/other existing 	radio/tv	717.00	'<100'	'>=7'	4.00	'male single'	none	4.00	'real estate'	52.00	none	own	3.00	skilled	1.00	none	yes	good
'no checking'	6.00	'no credits/all paid'	'new car'	1204.00	'100<=X<500'	'1<=X<4'	4.00	'male single'	none	1.00	'no known property'	35.00	bank	rent	1.00	skilled	1.00	none	no	good
'>=200'	24.00	'existing paid'	furniture/equipment	1925.00	'<100'	'1<=X<4'	2.00	'male single'	none	2.00	'real estate'	26.00	none	own	1.00	skilled	1.00	none	yes	good
'no checking'	18.00	'existing paid'	radio/tv	433.00	'<100'	unemployed	3.00	'female div/dep/mar'	'co applicant'	4.00	'real estate'	22.00	none	rent	1.00	skilled	1.00	none	yes	bad
'<0'	6.00	'critical/other existing 	'new car'	666.00	'>=1000'	'4<=X<7'	3.00	'female div/dep/mar'	none	4.00	'real estate'	39.00	none	own	2.00	'unskilled resident'	1.00	yes	yes	good
'>=200'	12.00	'existing paid'	furniture/equipment	2251.00	'<100'	'1<=X<4'	1.00	'female div/dep/mar'	none	2.00	car	46.00	none	own	1.00	'unskilled resident'	1.00	none	yes	good
'0<=X<200'	30.00	'existing paid'	'new car'	2150.00	'<100'	'1<=X<4'	4.00	'female div/dep/mar'	guarantor	2.00	'no known property'	24.00	bank	own	1.00	skilled	1.00	none	yes	bad
'no checking'	24.00	'delayed previously'	furniture/equipment	4151.00	'100<=X<500'	'1<=X<4'	2.00	'male single'	none	3.00	'life insurance'	35.00	none	own	2.00	skilled	1.00	none	yes	good
'0<=X<200'	9.00	'existing paid'	furniture/equipment	2030.00	'no known savings'	'4<=X<7'	2.00	'male single'	none	1.00	car	24.00	none	own	1.00	skilled	1.00	yes	yes	good
'0<=X<200'	60.00	'delayed previously'	radio/tv	7418.00	'no known savings'	'1<=X<4'	1.00	'male single'	none	1.00	'real estate'	27.00	none	own	1.00	'unskilled resident'	1.00	none	yes	good
'no checking'	24.00	'critical/other existing 	radio/tv	2684.00	'<100'	'1<=X<4'	4.00	'male single'	none	2.00	'real estate'	35.00	none	own	2.00	'unskilled resident'	1.00	none	yes	good
'<0'	12.00	'all paid'	radio/tv	2149.00	'<100'	'1<=X<4'	4.00	'male div/sep'	none	1.00	'no known property'	29.00	none	'for free'	1.00	skilled	1.00	none	yes	bad
'no checking'	15.00	'existing paid'	'used car'	3812.00	'100<=X<500'	'<1'	1.00	'female div/dep/mar'	none	4.00	car	23.00	none	own	1.00	skilled	1.00	yes	yes	good
'no checking'	11.00	'critical/other existing 	radio/tv	1154.00	'100<=X<500'	unemployed	4.00	'female div/dep/mar'	none	4.00	'real estate'	57.00	none	own	3.00	'unskilled resident'	1.00	none	yes	good
'<0'	12.00	'existing paid'	furniture/equipment	1657.00	'<100'	'1<=X<4'	2.00	'male single'	none	2.00	'real estate'	27.00	none	own	1.00	skilled	1.00	none	yes	good
'<0'	24.00	'existing paid'	radio/tv	1603.00	'<100'	'>=7'	4.00	'female div/dep/mar'	none	4.00	car	55.00	none	own	1.00	skilled	1.00	none	yes	good
'<0'	18.00	'critical/other existing 	'new car'	5302.00	'<100'	'>=7'	2.00	'male single'	none	4.00	'no known property'	36.00	none	'for free'	3.00	'high qualif/self emp/mgm	1.00	yes	yes	good
'no checking'	12.00	'critical/other existing 	education	2748.00	'<100'	'>=7'	2.00	'female div/dep/mar'	none	4.00	'no known property'	57.00	bank	'for free'	3.00	'unskilled resident'	1.00	none	yes	good
'no checking'	10.00	'critical/other existing 	'new car'	1231.00	'<100'	'>=7'	3.00	'male single'	none	4.00	'real estate'	32.00	none	own	2.00	'unskilled resident'	2.00	none	no	good
'0<=X<200'	15.00	'existing paid'	radio/tv	802.00	'<100'	'>=7'	4.00	'male single'	none	3.00	car	37.00	none	own	1.00	skilled	2.00	none	yes	bad
'no checking'	36.00	'critical/other existing 	business	6304.00	'no known savings'	'>=7'	4.00	'male single'	none	4.00	'real estate'	36.00	none	own	2.00	skilled	1.00	none	yes	good
'no checking'	24.00	'existing paid'	radio/tv	1533.00	'<100'	'<1'	4.00	'female div/dep/mar'	none	3.00	car	38.00	stores	own	1.00	skilled	1.00	yes	yes	good
'<0'	14.00	'existing paid'	'new car'	8978.00	'<100'	'>=7'	1.00	'male div/sep'	none	4.00	'life insurance'	45.00	none	own	1.00	'high qualif/self emp/mgm	1.00	yes	no	bad
'no checking'	24.00	'existing paid'	radio/tv	999.00	'no known savings'	'>=7'	4.00	'male single'	none	2.00	car	25.00	none	own	2.00	skilled	1.00	none	yes	good
'no checking'	18.00	'existing paid'	'new car'	2662.00	'no known savings'	'4<=X<7'	4.00	'male single'	none	3.00	'life insurance'	32.00	none	own	1.00	skilled	1.00	none	no	good
'no checking'	12.00	'critical/other existing 	furniture/equipment	1402.00	'500<=X<1000'	'4<=X<7'	3.00	'female div/dep/mar'	none	4.00	car	37.00	none	rent	1.00	skilled	1.00	yes	yes	good
'0<=X<200'	48.00	'all paid'	'new car'	12169.00	'no known savings'	unemployed	4.00	'male single'	'co applicant'	4.00	'no known property'	36.00	none	'for free'	1.00	'high qualif/self emp/mgm	1.00	yes	yes	good
'0<=X<200'	48.00	'existing paid'	radio/tv	3060.00	'<100'	'4<=X<7'	4.00	'male single'	none	4.00	'real estate'	28.00	none	own	2.00	skilled	1.00	none	yes	bad
'<0'	30.00	'existing paid'	repairs	11998.00	'<100'	'<1'	1.00	'male div/sep'	none	1.00	'no known property'	34.00	none	own	1.00	'unskilled resident'	1.00	yes	yes	bad
'no checking'	9.00	'existing paid'	radio/tv	2697.00	'<100'	'1<=X<4'	1.00	'male single'	none	2.00	'real estate'	32.00	none	own	1.00	skilled	2.00	none	yes	good
'no checking'	18.00	'critical/other existing 	radio/tv	2404.00	'<100'	'1<=X<4'	2.00	'female div/dep/mar'	none	2.00	car	26.00	none	own	2.00	skilled	1.00	none	yes	good
'<0'	12.00	'existing paid'	furniture/equipment	1262.00	'no known savings'	'>=7'	2.00	'male div/sep'	none	4.00	'life insurance'	49.00	none	own	1.00	'unskilled resident'	1.00	yes	yes	good
'no checking'	6.00	'existing paid'	furniture/equipment	4611.00	'<100'	'<1'	1.00	'female div/dep/mar'	none	4.00	'life insurance'	32.00	none	own	1.00	skilled	1.00	none	yes	bad
'no checking'	24.00	'existing paid'	radio/tv	1901.00	'100<=X<500'	'1<=X<4'	4.00	'male single'	none	4.00	car	29.00	none	rent	1.00	'high qualif/self emp/mgm	1.00	yes	yes	good
'no checking'	15.00	'critical/other existing 	'used car'	3368.00	'>=1000'	'>=7'	3.00	'male single'	none	4.00	'no known property'	23.00	none	rent	2.00	skilled	1.00	yes	yes	good
'no checking'	12.00	'existing paid'	furniture/equipment	1574.00	'<100'	'1<=X<4'	4.00	'male single'	none	2.00	'real estate'	50.00	none	own	1.00	skilled	1.00	none	yes	good
'>=200'	18.00	'all paid'	radio/tv	1445.00	'no known savings'	'4<=X<7'	4.00	'male single'	none	4.00	car	49.00	bank	own	1.00	'unskilled resident'	1.00	none	yes	good
'no checking'	15.00	'critical/other existing 	furniture/equipment	1520.00	'no known savings'	'>=7'	4.00	'male single'	none	4.00	'life insurance'	63.00	none	own	1.00	skilled	1.00	none	yes	good
'0<=X<200'	24.00	'critical/other existing 	'new car'	3878.00	'100<=X<500'	'<1'	4.00	'male div/sep'	none	2.00	car	37.00	none	own	1.00	skilled	1.00	yes	yes	good
'<0'	47.00	'existing paid'	'new car'	10722.00	'<100'	'<1'	1.00	'female div/dep/mar'	none	1.00	'real estate'	35.00	none	own	1.00	'unskilled resident'	1.00	yes	yes	good
'<0'	48.00	'existing paid'	'used car'	4788.00	'<100'	'4<=X<7'	4.00	'male single'	none	3.00	'life insurance'	26.00	none	own	1.00	skilled	2.00	none	yes	good
'0<=X<200'	48.00	'delayed previously'	other	7582.00	'100<=X<500'	unemployed	2.00	'male single'	none	4.00	'no known property'	31.00	none	'for free'	1.00	'high qualif/self emp/mgm	1.00	yes	yes	good
'0<=X<200'	12.00	'existing paid'	radio/tv	1092.00	'<100'	'1<=X<4'	4.00	'female div/dep/mar'	guarantor	4.00	'real estate'	49.00	none	own	2.00	skilled	1.00	yes	yes	good
